"id","displayOrder","rating","position","oldRemovable","oldStepType","oldModel","stratum"
"prm-9a6f73708a6d6a9f","3","1","early","no","essential","deepseek/deepseek-v4-flash","1|early|no|deepseek/deepseek-v4-flash"
"prm-75ab2c1847631c14","18","0","middle","yes","redundant","deepseek/deepseek-v4-flash","0|middle|yes|deepseek/deepseek-v4-flash"
"prm-8bf0d8a37d2eb018","23","1","early","no","harmful","deepseek/deepseek-v4-pro","1|early|no|deepseek/deepseek-v4-pro"
"prm-bedcbd8166cb0b0f","24","1","late","no","essential","deepseek/deepseek-v4-flash","1|late|no|deepseek/deepseek-v4-flash"
"prm-87593f72c0253cec","28","1","middle","no","essential","deepseek/deepseek-v4-pro","1|middle|no|deepseek/deepseek-v4-pro"
"prm-6eb49d110f10f5c9","33","0","late","yes","harmful","deepseek/deepseek-v4-pro","0|late|yes|deepseek/deepseek-v4-pro"
"prm-32b52a14659d1e3f","42","-1","early","yes","redundant","deepseek/deepseek-v4-pro","-1|early|yes|deepseek/deepseek-v4-pro"
"prm-4fe0f9ece87f57df","49","1","early","yes","redundant","deepseek/deepseek-v4-flash","1|early|yes|deepseek/deepseek-v4-flash"
"prm-a540f461a25e3009","67","1","late","yes","redundant","deepseek/deepseek-v4-flash","1|late|yes|deepseek/deepseek-v4-flash"
"prm-059a20c710a38a1d","71","0","middle","yes","redundant","deepseek/deepseek-v4-pro","0|middle|yes|deepseek/deepseek-v4-pro"
"prm-8bd9e6649bc32eb5","75","1","middle","no","essential","deepseek/deepseek-v4-flash","1|middle|no|deepseek/deepseek-v4-flash"
"prm-85a7807d849d0e61","76","0","late","yes","redundant","deepseek/deepseek-v4-flash","0|late|yes|deepseek/deepseek-v4-flash"
"prm-00c77d8adaa4cb57","81","-1","early","no","harmful","deepseek/deepseek-v4-flash","-1|early|no|deepseek/deepseek-v4-flash"
"prm-310884399c5179a6","85","-1","middle","yes","harmful","deepseek/deepseek-v4-flash","-1|middle|yes|deepseek/deepseek-v4-flash"
"prm-923c29c44fa03eb6","89","-1","late","no","essential","deepseek/deepseek-v4-pro","-1|late|no|deepseek/deepseek-v4-pro"
"prm-a774fd18d4116fb7","90","0","early","yes","redundant","deepseek/deepseek-v4-flash","0|early|yes|deepseek/deepseek-v4-flash"
"prm-b78ab37efb3ac6fe","95","-1","late","no","harmful","deepseek/deepseek-v4-flash","-1|late|no|deepseek/deepseek-v4-flash"
