"id","displayOrder","rating","position","oldRemovable","oldStepType","oldModel"
"prm-c1da18d5eb32eafe","1","1","early","no","essential","deepseek/deepseek-v4-flash"
"prm-23439bf6a10e0389","2","1","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-9a6f73708a6d6a9f","3","1","early","no","essential","deepseek/deepseek-v4-flash"
"prm-7c4b728ac8b7ff8c","4","0","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-b4172ae8c86b6f76","5","0","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-a9976436ac395dce","6","0","middle","no","essential","deepseek/deepseek-v4-pro"
"prm-57f3dc0fcc359327","7","-1","early","no","essential","deepseek/deepseek-v4-pro"
"prm-3e4ac009eae25363","8","-1","late","yes","harmful","deepseek/deepseek-v4-flash"
"prm-734c17ddd0cff62a","9","1","early","no","essential","deepseek/deepseek-v4-flash"
"prm-0cbc0287aab226af","10","0","middle","no","harmful","deepseek/deepseek-v4-pro"
"prm-bfc1c5c3c815660c","11","-1","early","no","harmful","deepseek/deepseek-v4-pro"
"prm-5464f1648525f7ea","12","1","middle","no","essential","deepseek/deepseek-v4-flash"
"prm-7a2c9794408559fd","13","1","late","yes","redundant","deepseek/deepseek-v4-flash"
"prm-526e2011568d24e6","14","1","middle","no","essential","deepseek/deepseek-v4-flash"
"prm-010e43e3a679e690","15","1","middle","no","essential","deepseek/deepseek-v4-flash"
"prm-8866ba0f5b250195","16","-1","middle","no","harmful","deepseek/deepseek-v4-flash"
"prm-9c4e4a7aac1b200e","17","-1","middle","no","harmful","deepseek/deepseek-v4-flash"
"prm-75ab2c1847631c14","18","0","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-8b05d5d648e57f29","19","-1","late","no","harmful","deepseek/deepseek-v4-flash"
"prm-dc55f1d7dc4e178f","20","-1","middle","no","harmful","deepseek/deepseek-v4-flash"
"prm-0a02ab06b394a416","21","1","early","no","essential","deepseek/deepseek-v4-flash"
"prm-dbc12362d53ec14f","22","1","early","yes","redundant","deepseek/deepseek-v4-flash"
"prm-8bf0d8a37d2eb018","23","1","early","no","harmful","deepseek/deepseek-v4-pro"
"prm-bedcbd8166cb0b0f","24","1","late","no","essential","deepseek/deepseek-v4-flash"
"prm-859d5c93d5ea0f57","25","0","middle","yes","harmful","deepseek/deepseek-v4-pro"
"prm-44f81fba1d026488","26","0","middle","yes","redundant","deepseek/deepseek-v4-flash"
"prm-0835351a60d3a191","27","1","early","no","essential","deepseek/deepseek-v4-flash"
