task,annotation_order,annotation_id,label,confidence_1to5,notes
m3,1,m3-88017882,redundant,5,
m3,2,m3-40923678,harmful,5,
m3,3,m3-86396553,redundant,4,
m3,4,m3-27038192,essential,3,
m3,5,m3-85970997,redundant,5,
m3,6,m3-79576143,redundant,5,
m3,7,m3-50378383,essential,4,
m3,8,m3-92743853,uncertain,1,
m3,9,m3-53395319,essential,5,
m3,10,m3-61260220,redundant,2,
m3,11,m3-24489016,essential,5,
m3,12,m3-56092906,essential,3,
m3,13,m3-31826044,essential,5,
m3,14,m3-07456475,essential,3,
m3,15,m3-99375912,essential,5,
m3,16,m3-89995130,redundant,5,
m3,17,m3-29698707,uncertain,2,
m3,18,m3-80341863,redundant,5,
m3,19,m3-38706704,redundant,4,
m3,20,m3-32671818,essential,4,
m3,21,m3-44398391,uncertain,1,
m3,22,m3-81694621,essential,5,
m3,23,m3-57207527,essential,5,
m3,24,m3-45562355,essential,4,
m3,25,m3-84149091,essential,5,
m3,26,m3-00557386,uncertain,2,
m3,27,m3-11884958,essential,5,
m3,28,m3-31209586,essential,3,
m3,29,m3-28602798,essential,5,
m3,30,m3-23130616,essential,5,
m3,31,m3-54775505,redundant,4,
m3,32,m3-12077710,redundant,5,
m3,33,m3-63057319,essential,5,
m3,34,m3-06025607,redundant,5,
m3,35,m3-56653068,essential,5,
m3,36,m3-99078163,uncertain,2,
m3,37,m3-29313531,essential,5,
m3,38,m3-32156460,redundant,4,
m3,39,m3-50429373,essential,5,
m3,40,m3-51603512,essential,5,
m3,41,m3-45923074,redundant,5,
m3,42,m3-28004835,redundant,4,
m3,43,m3-00054242,essential,5,
m3,44,m3-81656388,essential,4,
m3,45,m3-56353180,redundant,5,
m3,46,m3-29288430,redundant,4,
m3,47,m3-08152415,redundant,2,
m3,48,m3-29514797,essential,5,
m3,49,m3-98362921,redundant,5,
m3,50,m3-91414943,essential,5,
m3,51,m3-30891057,essential,5,
m3,52,m3-45220068,redundant,5,
m3,53,m3-42889200,uncertain,1,
m3,54,m3-58743763,essential,5,
m3,55,m3-01446607,redundant,5,
m3,56,m3-49088490,redundant,5,
m3,57,m3-84974964,redundant,5,
m3,58,m3-25030152,redundant,5,
m3,59,m3-74270818,redundant,5,
m3,60,m3-25159817,redundant,5,
m4_fidelity,1,m4f-59550455,minor_deviation,5,
m4_fidelity,2,m4f-59542024,minor_deviation,5,
m4_fidelity,3,m4f-26046895,minor_deviation,5,
m4_fidelity,4,m4f-00322573,minor_deviation,5,
m4_fidelity,5,m4f-51595738,minor_deviation,5,
m4_fidelity,6,m4f-75839096,minor_deviation,4,
m4_fidelity,7,m4f-00441023,minor_deviation,5,
m4_fidelity,8,m4f-87597533,minor_deviation,5,
m4_fidelity,9,m4f-88571697,minor_deviation,5,
m4_fidelity,10,m4f-14098814,minor_deviation,4,
m4_fidelity,11,m4f-15050593,minor_deviation,5,
m4_fidelity,12,m4f-36613765,minor_deviation,5,
m4_fidelity,13,m4f-26254662,faithful,5,
m4_fidelity,14,m4f-49073125,meaning_changed,2,
m4_fidelity,15,m4f-20069091,minor_deviation,5,
m4_fidelity,16,m4f-53065097,minor_deviation,5,
m4_fidelity,17,m4f-69444833,minor_deviation,4,
m4_fidelity,18,m4f-58006906,faithful,5,
m4_fidelity,19,m4f-84286134,minor_deviation,5,
m4_fidelity,20,m4f-98437852,minor_deviation,5,
m4_fidelity,21,m4f-39939375,minor_deviation,5,
m4_fidelity,22,m4f-00437519,minor_deviation,5,
m4_fidelity,23,m4f-80157087,faithful,5,
m4_fidelity,24,m4f-30384407,faithful,4,
m4_fidelity,25,m4f-17067882,minor_deviation,5,
m4_fidelity,26,m4f-20835541,minor_deviation,5,
m4_fidelity,27,m4f-05862991,minor_deviation,5,
m4_fidelity,28,m4f-04812616,meaning_changed,5,
m4_fidelity,29,m4f-65664370,faithful,5,
m4_fidelity,30,m4f-70716475,minor_deviation,4,
m4_fidelity,31,m4f-16759058,minor_deviation,5,
m4_fidelity,32,m4f-59436241,faithful,5,
m4_fidelity,33,m4f-10687801,minor_deviation,5,
m4_fidelity,34,m4f-12819344,minor_deviation,5,
m4_fidelity,35,m4f-87032016,faithful,5,
