"task","annotation_order","annotation_id","label","confidence_1to5","notes"
"m3","1","m3-88017882","harmful","5",""
"m3","2","m3-07456475","essential","5",""
"m3","3","m3-31209586","redundant","5",""
"m3","4","m3-51603512","redundant","5",""
"m3","5","m3-99375912","harmful","5",""
"m3","6","m3-81656388","essential","5",""
"m3","7","m3-32671818","harmful","5",""
"m3","8","m3-08152415","essential","5",""
"m3","9","m3-50378383","redundant","5",""
"m3","10","m3-58743763","redundant","3",""
"m3","11","m3-56092906","essential","5",""
"m3","12","m3-56353180","redundant","5",""
"m3","13","m3-29514797","essential","5",""
"m3","14","m3-80341863","redundant","5",""
"m3","15","m3-84149091","essential","5",""
"m3","16","m3-25030152","redundant","5",""
"m3","17","m3-31826044","essential","4",""
"m3","18","m3-00054242","essential","5",""
"m3","19","m3-54775505","redundant","5",""
"m3","20","m3-40923678","harmful","5",""
"m3","21","m3-30891057","uncertain","1",""
"m3","22","m3-12077710","harmful","3","题目里已经给出base是1了，没看懂这题问什么"
"m3","23","m3-56653068","essential","5",""
"m3","24","m3-45923074","essential","5",""
"m3","25","m3-98362921","redundant","5",""
"m3","26","m3-01446607","essential","5",""
"m3","27","m3-23130616","essential","5",""
"m3","28","m3-42889200","essential","5",""
"m3","29","m3-63057319","essential","5",""
"m3","30","m3-38706704","essential","5",""
"m3","31","m3-57207527","essential","5",""
"m3","32","m3-29313531","essential","5",""
"m3","33","m3-86396553","essential","5",""
"m3","34","m3-27038192","harmful","4",""
"m3","35","m3-84974964","essential","5",""
"m3","36","m3-61260220","essential","5",""
"m3","37","m3-44398391","essential","5",""
"m3","38","m3-45562355","essential","5",""
"m3","39","m3-99078163","essential","5",""
"m3","40","m3-45220068","essential","5",""
"m3","41","m3-00557386","essential","5",""
"m3","42","m3-49088490","redundant","5",""
"m3","43","m3-85970997","redundant","5",""
"m3","44","m3-28004835","redundant","5",""
"m3","45","m3-89995130","redundant","5",""
"m3","46","m3-06025607","redundant","5",""
"m3","47","m3-25159817","essential","4",""
"m3","48","m3-81694621","essential","5",""
"m3","49","m3-28602798","redundant","4",""
"m3","50","m3-91414943","essential","5",""
"m3","51","m3-29698707","essential","5",""
"m3","52","m3-53395319","essential","5",""
"m3","53","m3-24489016","essential","5",""
"m3","54","m3-11884958","essential","5",""
"m3","55","m3-79576143","redundant","4",""
"m3","56","m3-92743853","harmful","3",""
"m3","57","m3-74270818","essential","5",""
"m3","58","m3-29288430","redundant","4",""
"m3","59","m3-50429373","essential","5",""
"m3","60","m3-32156460","essential","4",""
"m4_fidelity","1","m4f-91805841","faithful","5",""
"m4_fidelity","2","m4f-75267917","faithful","5",""
"m4_fidelity","3","m4f-48846475","faithful","5",""
"m4_fidelity","4","m4f-93952101","faithful","5",""
"m4_fidelity","5","m4f-95419854","faithful","5",""
"m4_fidelity","6","m4f-29745827","minor_deviation","5",""
"m4_fidelity","7","m4f-53135670","faithful","5",""
"m4_fidelity","8","m4f-48277403","faithful","5",""
"m4_fidelity","9","m4f-08297219","minor_deviation","4",""
"m4_fidelity","10","m4f-83199610","faithful","5",""
"m4_fidelity","11","m4f-06716939","faithful","5",""
"m4_fidelity","12","m4f-13326092","faithful","5",""
"m4_fidelity","13","m4f-85128444","faithful","5",""
"m4_fidelity","14","m4f-20340716","faithful","5",""
"m4_fidelity","15","m4f-42725168","meaning_changed","4","repeated和continue有点不一样吧，如果咬文嚼字的话"
"m4_fidelity","16","m4f-08522859","faithful","5",""
"m4_fidelity","17","m4f-09615726","faithful","5",""
"m4_fidelity","18","m4f-27954347","faithful","5",""
"m4_fidelity","19","m4f-39268136","faithful","5",""
"m4_fidelity","20","m4f-31498958","faithful","5",""
"m4_fidelity","21","m4f-06823845","faithful","5",""
"m4_fidelity","22","m4f-79695138","faithful","5",""
"m4_fidelity","23","m4f-03158301","faithful","5",""
"m4_fidelity","24","m4f-84149872","faithful","5",""
"m4_fidelity","25","m4f-15671463","faithful","5",""
"m4_fidelity","26","m4f-77531073","faithful","5",""
"m4_fidelity","27","m4f-18223745","faithful","5",""
"m4_fidelity","28","m4f-47803821","faithful","5",""
"m4_fidelity","29","m4f-87490327","faithful","5",""
"m4_fidelity","30","m4f-04521022","faithful","5",""
"m4_fidelity","31","m4f-02806764","faithful","5",""
"m4_fidelity","32","m4f-86364689","faithful","5",""
"m4_fidelity","33","m4f-55259892","faithful","5",""
"m4_fidelity","34","m4f-20817079","faithful","5",""
"m4_fidelity","35","m4f-06052449","faithful","5",""
