row_type,step_id,rating,semantic_type,target_effect_pp,ci_low_pp,ci_high_pp,x_jitter
point,prm-c1da18d5eb32eafe,1,essential,0.000000,,,0.095480
point,prm-23439bf6a10e0389,1,redundant,0.000000,,,0.097900
point,prm-9a6f73708a6d6a9f,1,essential,-100.000000,,,0.063800
point,prm-7c4b728ac8b7ff8c,0,redundant,0.000000,,,-0.058740
point,prm-b4172ae8c86b6f76,0,redundant,75.000000,,,-0.008800
point,prm-a9976436ac395dce,0,essential,0.000000,,,0.052140
point,prm-57f3dc0fcc359327,-1,essential,0.000000,,,0.023320
point,prm-3e4ac009eae25363,-1,harmful,100.000000,,,-0.005280
point,prm-734c17ddd0cff62a,1,essential,0.000000,,,-0.005280
point,prm-0cbc0287aab226af,0,harmful,-50.000000,,,0.028820
point,prm-bfc1c5c3c815660c,-1,harmful,0.000000,,,-0.089760
point,prm-5464f1648525f7ea,1,essential,0.000000,,,0.062700
point,prm-7a2c9794408559fd,1,redundant,0.000000,,,0.023100
point,prm-526e2011568d24e6,1,essential,0.000000,,,-0.051260
point,prm-010e43e3a679e690,1,essential,0.000000,,,-0.073920
point,prm-8866ba0f5b250195,-1,harmful,0.000000,,,0.069740
point,prm-9c4e4a7aac1b200e,-1,harmful,75.000000,,,-0.078980
point,prm-75ab2c1847631c14,0,redundant,0.000000,,,-0.012320
point,prm-8b05d5d648e57f29,-1,harmful,0.000000,,,0.062040
point,prm-dc55f1d7dc4e178f,-1,harmful,100.000000,,,-0.025960
point,prm-0a02ab06b394a416,1,essential,-50.000000,,,0.084480
point,prm-dbc12362d53ec14f,1,redundant,0.000000,,,0.053680
point,prm-8bf0d8a37d2eb018,1,harmful,0.000000,,,-0.000660
point,prm-bedcbd8166cb0b0f,1,essential,0.000000,,,0.073260
point,prm-859d5c93d5ea0f57,0,harmful,100.000000,,,0.109780
point,prm-44f81fba1d026488,0,redundant,0.000000,,,0.052580
point,prm-0835351a60d3a191,1,essential,-50.000000,,,-0.020240
point,prm-87593f72c0253cec,1,essential,0.000000,,,0.089760
point,prm-6ecf2965f1e68c18,0,redundant,-75.000000,,,0.073040
point,prm-14e2f6c826426674,0,redundant,0.000000,,,-0.012540
point,prm-2d92ce0491f2f56a,1,essential,25.000000,,,0.061380
point,prm-666a954e3bca4a2f,1,essential,-75.000000,,,-0.108680
point,prm-6eb49d110f10f5c9,0,harmful,25.000000,,,-0.050600
point,prm-695b2bd8829139af,-1,harmful,0.000000,,,-0.009240
point,prm-14c0129055d497b2,1,essential,0.000000,,,-0.072600
point,prm-d987eb66b5f962dd,1,harmful,75.000000,,,0.042900
point,prm-372caf3f76fece1c,0,essential,0.000000,,,-0.100760
point,prm-9a884b78e7527ff9,-1,harmful,0.000000,,,0.086900
point,prm-236816577f8edaf6,1,essential,-75.000000,,,-0.050820
point,prm-9f3753744da09c38,-1,harmful,0.000000,,,0.001320
point,prm-f80db588fbe79fa9,1,harmful,0.000000,,,0.097020
point,prm-32b52a14659d1e3f,-1,redundant,0.000000,,,0.050160
point,prm-12c0e402310b4521,1,redundant,25.000000,,,-0.001540
point,prm-2c6c822e00040ba8,-1,harmful,0.000000,,,-0.061160
point,prm-6a6a0bdb19ba41d4,0,redundant,0.000000,,,0.062920
point,prm-e46e6f9adff3443b,1,essential,0.000000,,,0.035860
point,prm-60717bf0ef4716f2,0,redundant,50.000000,,,-0.088660
point,prm-d018213d57c7afde,1,redundant,25.000000,,,-0.017820
point,prm-4fe0f9ece87f57df,1,redundant,0.000000,,,0.072600
point,prm-26cc0e5d412214d1,1,essential,0.000000,,,0.055660
point,prm-14b4f8d6eb13ea00,1,redundant,0.000000,,,-0.006600
point,prm-23547b2809b8fcf4,-1,harmful,100.000000,,,-0.084480
point,prm-76b2b2177dea50be,1,essential,75.000000,,,0.042680
point,prm-aca8e5373e4b0749,1,essential,0.000000,,,-0.072820
point,prm-ee1dd46f28f6c0e7,-1,harmful,0.000000,,,-0.086240
point,prm-5145212ea7e026b0,-1,harmful,100.000000,,,-0.091300
point,prm-84a947c7d146af3f,0,essential,0.000000,,,-0.025960
point,prm-0e94635dc190f6f1,0,redundant,75.000000,,,-0.094600
point,prm-0638bc02d0338441,1,essential,0.000000,,,0.086020
point,prm-f6029ddde78e932f,1,harmful,-75.000000,,,0.051700
point,prm-6d0334ee1141425e,0,essential,0.000000,,,-0.098340
point,prm-f1ec503f118b2646,-1,harmful,100.000000,,,0.108020
point,prm-55db6c6b79c6e553,1,redundant,0.000000,,,0.058960
point,prm-e26a030a97cd7abe,1,redundant,50.000000,,,0.014960
point,prm-768b381d1efb643a,-1,harmful,0.000000,,,0.029480
point,prm-d9d73e3c7b609d81,0,redundant,0.000000,,,0.010340
point,prm-a540f461a25e3009,1,redundant,0.000000,,,-0.039820
point,prm-70a8ec8eb124a0b7,-1,harmful,25.000000,,,0.097460
point,prm-32376b54c0a0b41a,1,essential,0.000000,,,-0.064460
point,prm-decee9499f5fb0d7,-1,harmful,100.000000,,,-0.062040
point,prm-059a20c710a38a1d,0,redundant,0.000000,,,0.001540
point,prm-7b9dea52f656c0bc,1,essential,0.000000,,,0.104500
point,prm-ab761a525cce7441,1,essential,100.000000,,,-0.065780
point,prm-65c1f64f7a99498a,1,essential,0.000000,,,-0.081840
point,prm-8bd9e6649bc32eb5,1,essential,0.000000,,,0.026180
point,prm-85a7807d849d0e61,0,redundant,0.000000,,,-0.035640
point,prm-02ed1bb8af1a120d,1,redundant,0.000000,,,0.052140
point,prm-d4c3a3c1d1cb0d1f,-1,harmful,0.000000,,,-0.076340
point,prm-cb73032ead9c7309,0,harmful,0.000000,,,0.080740
point,prm-45906351f0903519,1,essential,0.000000,,,-0.069300
point,prm-00c77d8adaa4cb57,-1,harmful,0.000000,,,-0.095260
point,prm-eb13f69f057980c9,0,redundant,0.000000,,,0.058520
point,prm-77fc0b169d8585bc,-1,harmful,100.000000,,,-0.078760
point,prm-2595a51b9bc687a5,0,redundant,0.000000,,,-0.064240
point,prm-310884399c5179a6,-1,harmful,100.000000,,,0.099220
point,prm-98214e328bc84341,-1,harmful,100.000000,,,0.013640
point,prm-16428e60085cafa9,1,essential,0.000000,,,-0.073480
point,prm-ac91d34d7871bcbc,0,essential,-75.000000,,,-0.039160
point,prm-923c29c44fa03eb6,-1,essential,0.000000,,,0.103180
point,prm-a774fd18d4116fb7,0,redundant,0.000000,,,0.071060
point,prm-bc4cdb54673acb6b,0,redundant,0.000000,,,-0.016280
point,prm-911d5b9b5b289e39,-1,harmful,0.000000,,,-0.008140
point,prm-76efc721b39b6bd3,1,essential,0.000000,,,-0.088440
point,prm-f902409b4b69ac6a,1,essential,0.000000,,,-0.009460
point,prm-b78ab37efb3ac6fe,-1,harmful,0.000000,,,0.010340
point,prm-afff103ac71bacae,-1,harmful,100.000000,,,-0.075460
point,prm-94f01424485d8634,-1,harmful,0.000000,,,-0.032560
point,prm-74cbbc536681f443,0,redundant,50.000000,,,0.097680
point,prm-e4c8f952bd2bcb69,0,essential,0.000000,,,-0.002420
point,prm-b16889ee222c85e0,0,harmful,-25.000000,,,0.066660
point,prm-11c64fcd9adf9a8d,0,harmful,0.000000,,,0.047300
point,prm-2e89a40cec48c042,-1,harmful,100.000000,,,-0.043560
point,prm-d400c2ab50349260,-1,harmful,50.000000,,,-0.082500
point,prm-bf49cda9c1b58b99,-1,harmful,0.000000,,,-0.105160
point,prm-5c13d28d0d1e26be,0,redundant,0.000000,,,0.092400
point,prm-6a8171dd86016c13,1,redundant,0.000000,,,0.038500
point,prm-4397a2362fedc5a3,1,essential,0.000000,,,0.051700
point,prm-2f5e5f1e6dacb0f7,-1,harmful,100.000000,,,0.051480
point,prm-4b587d923463065a,-1,essential,0.000000,,,-0.034980
point,prm-a304fbad5368565d,-1,harmful,75.000000,,,-0.106920
point,prm-2d2be0a20e1f55eb,0,essential,0.000000,,,-0.087120
point,prm-b93ffe4952ee0425,-1,harmful,0.000000,,,0.051040
point,prm-71ed47ae96c446e4,0,redundant,0.000000,,,-0.003520
point,prm-1368cc3f0e85c6c9,1,redundant,0.000000,,,-0.058740
point,prm-de41ade60ddfc393,0,redundant,0.000000,,,-0.011000
point,prm-b35e05ba41e78a12,1,essential,0.000000,,,0.099220
point,prm-321715581e0e716b,0,harmful,-25.000000,,,-0.047740
point,prm-1a376cfa6cfa9af8,-1,harmful,0.000000,,,0.097680
