"Group","Target_Steps","Pairs","Accuracy_Change","Accuracy_CI_Lower","Accuracy_CI_Upper","Harm_Rate","Harm_CI_Lower","Harm_CI_Upper","Recovery_Rate","Recovery_CI_Lower","Recovery_CI_Upper","Mean_Token_Change","Token_CI_Lower","Token_CI_Upper"
"Overall","600","2400","0.072083","0.038750","0.105833","0.150776","0.118994","0.184059","0.360076","0.307994","0.412402","12.98","-19.65","45.56"
"rating=-1","200","800","0.220000","0.154145","0.284212","0.148594","0.082250","0.225930","0.386570","0.313072","0.462716","-5.90","-60.21","47.94"
"rating=0","200","800","0.002500","-0.054094","0.058963","0.170498","0.116189","0.228734","0.327338","0.234320","0.426011","21.40","-30.66","76.05"
"rating=1","200","800","-0.006250","-0.055419","0.042092","0.134021","0.090414","0.181681","0.334862","0.235287","0.439475","23.44","-38.82","87.25"
"step_type=Essential","165","660","-0.012121","-0.072368","0.047840","0.178404","0.119437","0.243851","0.290598","0.193792","0.392354","40.33","-28.36","114.58"
"step_type=Redundant","201","804","0.011194","-0.038664","0.060568","0.119454","0.078273","0.165601","0.362385","0.257720","0.473691","-5.84","-57.19","44.71"
"step_type=Harmful","234","936","0.183761","0.122762","0.244371","0.170088","0.107246","0.239193","0.386555","0.316535","0.459189","9.86","-43.32","62.29"
"rating=-1 x step_type=Essential","14","56","0.178571","-0.045455","0.444444","0.200000","0.000000","0.500000","0.388889","0.090909","0.724138","-23.36","-108.75","44.36"
"rating=-1 x step_type=Redundant","8","32","0.000000","-0.392857","0.400000","0.192308","0.000000","0.521739","0.833333","0.000000","1.000000","159.84","-136.06","699.70"
"rating=-1 x step_type=Harmful","178","712","0.233146","0.165697","0.302425","0.137931","0.067009","0.221720","0.381139","0.303389","0.459461","-11.97","-69.73","44.80"
"rating=0 x step_type=Essential","41","164","-0.060976","-0.202703","0.076935","0.270833","0.115771","0.440678","0.235294","0.077778","0.424666","47.93","-75.07","201.70"
"rating=0 x step_type=Redundant","121","484","0.016529","-0.048877","0.083333","0.131902","0.074797","0.197063","0.322785","0.204376","0.452233","-17.18","-79.15","42.71"
"rating=0 x step_type=Harmful","38","152","0.026316","-0.121433","0.176829","0.200000","0.078252","0.339454","0.461538","0.222222","0.717391","115.59","5.13","252.87"
"rating=1 x step_type=Essential","110","440","-0.018182","-0.086634","0.047921","0.148387","0.087084","0.216831","0.292308","0.166667","0.425758","45.61","-47.60","138.75"
"rating=1 x step_type=Redundant","72","288","0.003472","-0.072368","0.079115","0.094017","0.039800","0.160497","0.425926","0.222181","0.658550","-5.19","-89.31","78.94"
"rating=1 x step_type=Harmful","18","72","0.027778","-0.196429","0.250260","0.263158","0.033333","0.500000","0.352941","0.090909","0.689655","2.56","-300.15","264.02"
