"Dimension","Group","Definition","Target_Steps","Pairs","Accuracy_Change","CI_Lower","CI_Upper","Wrong_To_Correct","Correct_To_Wrong"
"step_position","early","early","201","804","0.049751","-0.011251","0.111811","127","87"
"step_position","middle","middle","201","804","0.094527","0.033066","0.155928","144","68"
"step_position","late","late","198","792","0.071970","0.017500","0.126238","106","49"
"step_length","short","ranks 1-200; 4-27 prompt tokens","200","800","0.002500","-0.052134","0.055556","72","70"
"step_length","middle","ranks 201-400; 27-40 prompt tokens","200","800","0.096250","0.035130","0.156596","148","71"
"step_length","long","ranks 401-600; 40-648 prompt tokens","200","800","0.117500","0.055259","0.179688","157","63"
"prefix_length","short","ranks 1-200; 272-431 prompt tokens","200","800","0.053750","-0.006762","0.113285","121","78"
"prefix_length","middle","ranks 201-400; 432-577 prompt tokens","200","800","0.108750","0.047497","0.168998","155","68"
"prefix_length","long","ranks 401-600; 578-1229 prompt tokens","200","800","0.053750","0.000000","0.108076","101","58"
"control_correct_frequency","0/4","0 of 4 control runs correct","224","896","0.333705","0.275217","0.391977","299","0"
"control_correct_frequency","1/4","1 of 4 control runs correct","23","92","0.152174","-0.012500","0.322917","28","14"
"control_correct_frequency","2/4","2 of 4 control runs correct","27","108","0.092593","-0.089304","0.262516","31","21"
"control_correct_frequency","3/4","3 of 4 control runs correct","28","112","-0.053571","-0.206897","0.083333","19","25"
"control_correct_frequency","4/4","4 of 4 control runs correct","298","1192","-0.120805","-0.154930","-0.089051","0","144"
