step_id,problem_id,prm_rating,step_type_analysis,step_type_human_calibrated,rating_x_type,position_bin,target_tokens,prefix_tokens,control_correct_count,target_correct_count,control_avg_correct,target_avg_correct,target_effect,correct_to_wrong_count,wrong_to_correct_count,danger_rate,recovery_rate,mean_target_minus_control_tokens,completion_fraction,has_abnormal_completion,placebo_eligible,placebo_run_count,eligibility_group
prm-c1da18d5eb32eafe,problem-ced521d94764b4a3,1,essential,harmful,1 x essential,early,75,624,0,0,0.0,0.0,0.0,0,0,,0.0,80.25,1.0,false,1,4,eligible
prm-23439bf6a10e0389,problem-32c3cda4fa5ff5d1,1,redundant,redundant,1 x redundant,middle,29,795,4,4,1.0,1.0,0.0,0,0,0.0,,-238,1.0,false,1,4,eligible
prm-9a6f73708a6d6a9f,problem-21b63c00bc0a7ef6,1,essential,essential,1 x essential,early,91,384,4,0,1.0,0.0,-1.0,4,0,1.0,,570.5,0.5,true,0,0,skipped
prm-7c4b728ac8b7ff8c,problem-3d1f09ed5cfd53dc,0,redundant,redundant,0 x redundant,early,25,422,4,4,1.0,1.0,0.0,0,0,0.0,,8,1.0,false,1,4,eligible
prm-b4172ae8c86b6f76,problem-d3610a7a74514575,0,redundant,redundant,0 x redundant,early,36,659,1,4,0.25,1.0,0.75,0,3,0.0,1.0,174.25,1.0,false,1,4,eligible
prm-a9976436ac395dce,problem-32b099c0f5aec3b1,0,essential,essential,0 x essential,middle,38,664,0,0,0.0,0.0,0.0,0,0,,0.0,-4.25,1.0,false,1,4,eligible
prm-57f3dc0fcc359327,problem-6bb3caecbae2a0c3,-1,essential,harmful,-1 x essential,early,54,354,1,1,0.25,0.25,0.0,1,1,1.0,0.333333,55.25,1.0,false,1,4,eligible
prm-3e4ac009eae25363,problem-71eae2be9ad19da7,-1,harmful,harmful,-1 x harmful,late,58,619,0,4,0.0,1.0,1.0,0,4,,1.0,337.5,1.0,false,1,2,eligible
prm-734c17ddd0cff62a,problem-6c70163ce817add4,1,essential,redundant,1 x essential,early,24,401,4,4,1.0,1.0,0.0,0,0,0.0,,87.5,1.0,false,1,4,eligible
prm-0cbc0287aab226af,problem-5932169135a7e725,0,harmful,harmful,0 x harmful,middle,34,485,2,0,0.5,0.0,-0.5,2,0,1.0,0.0,-1.5,1.0,false,1,3,eligible
prm-bfc1c5c3c815660c,problem-f604ddc238c9c584,-1,harmful,essential,-1 x harmful,early,26,658,4,4,1.0,1.0,0.0,0,0,0.0,,67.25,1.0,false,1,4,eligible
prm-5464f1648525f7ea,problem-86e623556487463d,1,essential,harmful,1 x essential,middle,44,459,4,4,1.0,1.0,0.0,0,0,0.0,,-13,1.0,false,1,3,eligible
prm-7a2c9794408559fd,problem-9c713fb13ae435bf,1,redundant,redundant,1 x redundant,late,9,581,4,4,1.0,1.0,0.0,0,0,0.0,,-4.75,1.0,false,0,0,skipped
prm-526e2011568d24e6,problem-f5c172c898474116,1,essential,essential,1 x essential,middle,52,414,4,4,1.0,1.0,0.0,0,0,0.0,,52.75,1.0,false,0,0,skipped
prm-010e43e3a679e690,problem-a325f288a314fe56,1,essential,essential,1 x essential,middle,30,324,4,4,1.0,1.0,0.0,0,0,0.0,,62.5,1.0,false,1,3,eligible
prm-8866ba0f5b250195,problem-ca5be300c2084b2c,-1,harmful,harmful,-1 x harmful,middle,129,641,0,0,0.0,0.0,0.0,0,0,,0.0,40,1.0,false,1,1,eligible
prm-9c4e4a7aac1b200e,problem-498bac6c50d80f1b,-1,harmful,harmful,-1 x harmful,middle,44,538,0,3,0.0,0.75,0.75,0,3,,0.75,119.25,1.0,false,1,3,eligible
prm-75ab2c1847631c14,problem-c4f4fd84bb522f70,0,redundant,essential,0 x redundant,middle,20,419,4,4,1.0,1.0,0.0,0,0,0.0,,-46,1.0,false,1,4,eligible
prm-8b05d5d648e57f29,problem-ab8474b5c891f6bb,-1,harmful,harmful,-1 x harmful,late,27,1022,0,0,0.0,0.0,0.0,0,0,,0.0,118.5,1.0,false,1,4,eligible
prm-dc55f1d7dc4e178f,problem-e684634d63b6e43e,-1,harmful,essential,-1 x harmful,middle,38,480,0,4,0.0,1.0,1.0,0,4,,1.0,90.5,1.0,false,1,4,eligible
prm-0a02ab06b394a416,problem-5d38b315c24ca703,1,essential,essential,1 x essential,early,22,372,3,1,0.75,0.25,-0.5,2,0,0.666667,0.0,85.5,1.0,false,0,0,skipped
prm-dbc12362d53ec14f,problem-7402b093e77ab835,1,redundant,redundant,1 x redundant,early,17,307,4,4,1.0,1.0,0.0,0,0,0.0,,72.25,1.0,false,1,3,eligible
prm-8bf0d8a37d2eb018,problem-bf1b475d2d82a865,1,harmful,harmful,1 x harmful,early,46,393,0,0,0.0,0.0,0.0,0,0,,0.0,-1.75,0.875,true,1,4,eligible
prm-bedcbd8166cb0b0f,problem-d66a40c796e80963,1,essential,essential,1 x essential,late,41,401,4,4,1.0,1.0,0.0,0,0,0.0,,53.25,1.0,false,1,1,eligible
prm-859d5c93d5ea0f57,problem-4eb54cd64aed6e3c,0,harmful,harmful,0 x harmful,middle,47,604,0,4,0.0,1.0,1.0,0,4,,1.0,-85,1.0,false,1,4,eligible
prm-44f81fba1d026488,problem-9c621effde8b49ca,0,redundant,redundant,0 x redundant,middle,50,631,4,4,1.0,1.0,0.0,0,0,0.0,,-74.25,1.0,false,1,1,eligible
prm-0835351a60d3a191,problem-7b5a516cad6a7a6d,1,essential,essential,1 x essential,early,44,450,2,0,0.5,0.0,-0.5,2,0,1.0,0.0,-891.5,0.875,true,1,4,eligible
prm-87593f72c0253cec,problem-32b099c0f5aec3b1,1,essential,essential,1 x essential,middle,30,597,4,4,1.0,1.0,0.0,0,0,0.0,,-17.5,1.0,false,1,4,eligible
prm-6ecf2965f1e68c18,problem-9e0b1d33f87ca8ab,0,redundant,essential,0 x redundant,middle,59,371,3,0,0.75,0.0,-0.75,3,0,1.0,0.0,41,1.0,false,0,0,skipped
prm-14e2f6c826426674,problem-8e94732caeed5f9b,0,redundant,redundant,0 x redundant,early,28,415,4,4,1.0,1.0,0.0,0,0,0.0,,-53.75,1.0,false,1,4,eligible
prm-2d92ce0491f2f56a,problem-5d4e128b653312de,1,essential,redundant,1 x essential,middle,36,440,3,4,0.75,1.0,0.25,0,1,0.0,1.0,-921.25,1.0,false,1,2,eligible
prm-666a954e3bca4a2f,problem-9d135f320cbe07b9,1,essential,essential,1 x essential,late,33,548,3,0,0.75,0.0,-0.75,3,0,1.0,0.0,-16.25,1.0,false,1,1,eligible
prm-6eb49d110f10f5c9,problem-116237dfe3dbfe5a,0,harmful,essential,0 x harmful,late,47,473,0,1,0.0,0.25,0.25,0,1,,0.25,40,1.0,false,1,3,eligible
prm-695b2bd8829139af,problem-f83aecab9faccb6c,-1,harmful,harmful,-1 x harmful,early,58,477,0,0,0.0,0.0,0.0,0,0,,0.0,-1078.75,0.125,true,1,2,eligible
prm-14c0129055d497b2,problem-f75c04ea2e983a23,1,essential,redundant,1 x essential,late,10,579,4,4,1.0,1.0,0.0,0,0,0.0,,3,1.0,false,0,0,skipped
prm-d987eb66b5f962dd,problem-89ee4e5ddd25b8e0,1,harmful,harmful,1 x harmful,middle,40,513,0,3,0.0,0.75,0.75,0,3,,0.75,-371.5,0.875,true,1,2,eligible
prm-372caf3f76fece1c,problem-cf3312d83cf0bc46,0,essential,redundant,0 x essential,late,10,408,0,0,0.0,0.0,0.0,0,0,,0.0,2,1.0,false,0,0,skipped
prm-9a884b78e7527ff9,problem-4928f50ac88f7a16,-1,harmful,harmful,-1 x harmful,middle,41,488,4,4,1.0,1.0,0.0,0,0,0.0,,48.25,1.0,false,1,3,eligible
prm-236816577f8edaf6,problem-f6faf09783c45a37,1,essential,essential,1 x essential,early,35,316,4,1,1.0,0.25,-0.75,3,0,0.75,,10,1.0,false,0,0,skipped
prm-9f3753744da09c38,problem-81dd044c95a0fca3,-1,harmful,harmful,-1 x harmful,middle,26,576,0,0,0.0,0.0,0.0,0,0,,0.0,304,1.0,false,1,1,eligible
prm-f80db588fbe79fa9,problem-3b95366916efe8e8,1,harmful,redundant,1 x harmful,middle,45,617,4,4,1.0,1.0,0.0,0,0,0.0,,-53.75,1.0,false,1,4,eligible
prm-32b52a14659d1e3f,problem-89f1d351159d3b1e,-1,redundant,redundant,-1 x redundant,early,42,328,4,4,1.0,1.0,0.0,0,0,0.0,,291,1.0,false,1,4,eligible
prm-12c0e402310b4521,problem-f63d2aeb1dcb4877,1,redundant,redundant,1 x redundant,late,19,541,3,4,0.75,1.0,0.25,0,1,0.0,1.0,-23,1.0,false,0,0,skipped
prm-2c6c822e00040ba8,problem-bf1b475d2d82a865,-1,harmful,harmful,-1 x harmful,late,16,765,0,0,0.0,0.0,0.0,0,0,,0.0,-31.75,1.0,false,1,2,eligible
prm-6a6a0bdb19ba41d4,problem-5567e2ebab5e0f67,0,redundant,redundant,0 x redundant,late,24,744,4,4,1.0,1.0,0.0,0,0,0.0,,7.5,1.0,false,1,3,eligible
prm-e46e6f9adff3443b,problem-5b29870e6b483cee,1,essential,essential,1 x essential,late,14,436,4,4,1.0,1.0,0.0,0,0,0.0,,1.75,1.0,false,0,0,skipped
prm-60717bf0ef4716f2,problem-a8c4001358470f25,0,redundant,redundant,0 x redundant,late,35,900,2,4,0.5,1.0,0.5,0,2,0.0,1.0,26,1.0,false,1,4,eligible
prm-d018213d57c7afde,problem-db4c0ed2fbf94208,1,redundant,essential,1 x redundant,middle,28,434,3,4,0.75,1.0,0.25,0,1,0.0,1.0,17.5,1.0,false,1,4,eligible
prm-4fe0f9ece87f57df,problem-e684634d63b6e43e,1,redundant,redundant,1 x redundant,early,27,447,4,4,1.0,1.0,0.0,0,0,0.0,,68.75,1.0,false,1,4,eligible
prm-26cc0e5d412214d1,problem-7fc009d3f808cafe,1,essential,essential,1 x essential,late,40,791,4,4,1.0,1.0,0.0,0,0,0.0,,59,1.0,false,1,4,eligible
prm-14b4f8d6eb13ea00,problem-25b30ae82b7937f0,1,redundant,redundant,1 x redundant,late,8,458,4,4,1.0,1.0,0.0,0,0,0.0,,60.5,1.0,false,0,0,skipped
prm-23547b2809b8fcf4,problem-02480d2c0415a281,-1,harmful,harmful,-1 x harmful,middle,57,441,0,4,0.0,1.0,1.0,0,4,,1.0,51.25,1.0,false,1,1,eligible
prm-76b2b2177dea50be,problem-27304254dfee5d97,1,essential,essential,1 x essential,late,37,645,0,3,0.0,0.75,0.75,0,3,,0.75,-1303.5,0.375,true,1,4,eligible
prm-aca8e5373e4b0749,problem-f5ace075c490ab02,1,essential,essential,1 x essential,middle,57,503,0,0,0.0,0.0,0.0,0,0,,0.0,1314.25,0.625,true,1,3,eligible
prm-ee1dd46f28f6c0e7,problem-7edb000570e7a5ad,-1,harmful,harmful,-1 x harmful,late,37,492,4,4,1.0,1.0,0.0,0,0,0.0,,-79,1.0,false,0,0,skipped
prm-5145212ea7e026b0,problem-f5c172c898474116,-1,harmful,essential,-1 x harmful,late,46,508,0,4,0.0,1.0,1.0,0,4,,1.0,27.25,1.0,false,1,3,eligible
