step_id,problem_id,fold
prm-c1da18d5eb32eafe,problem-ced521d94764b4a3,1
prm-23439bf6a10e0389,problem-32c3cda4fa5ff5d1,2
prm-9a6f73708a6d6a9f,problem-21b63c00bc0a7ef6,1
prm-7c4b728ac8b7ff8c,problem-3d1f09ed5cfd53dc,0
prm-b4172ae8c86b6f76,problem-d3610a7a74514575,3
prm-a9976436ac395dce,problem-32b099c0f5aec3b1,1
prm-57f3dc0fcc359327,problem-6bb3caecbae2a0c3,3
prm-3e4ac009eae25363,problem-71eae2be9ad19da7,3
prm-734c17ddd0cff62a,problem-6c70163ce817add4,3
prm-0cbc0287aab226af,problem-5932169135a7e725,4
prm-bfc1c5c3c815660c,problem-f604ddc238c9c584,0
prm-5464f1648525f7ea,problem-86e623556487463d,0
prm-7a2c9794408559fd,problem-9c713fb13ae435bf,4
prm-526e2011568d24e6,problem-f5c172c898474116,1
prm-010e43e3a679e690,problem-a325f288a314fe56,3
prm-8866ba0f5b250195,problem-ca5be300c2084b2c,0
prm-9c4e4a7aac1b200e,problem-498bac6c50d80f1b,0
prm-75ab2c1847631c14,problem-c4f4fd84bb522f70,2
prm-8b05d5d648e57f29,problem-ab8474b5c891f6bb,0
prm-dc55f1d7dc4e178f,problem-e684634d63b6e43e,2
prm-0a02ab06b394a416,problem-5d38b315c24ca703,3
prm-dbc12362d53ec14f,problem-7402b093e77ab835,3
prm-8bf0d8a37d2eb018,problem-bf1b475d2d82a865,1
prm-bedcbd8166cb0b0f,problem-d66a40c796e80963,3
prm-859d5c93d5ea0f57,problem-4eb54cd64aed6e3c,1
prm-44f81fba1d026488,problem-9c621effde8b49ca,2
prm-0835351a60d3a191,problem-7b5a516cad6a7a6d,2
prm-87593f72c0253cec,problem-32b099c0f5aec3b1,1
prm-6ecf2965f1e68c18,problem-9e0b1d33f87ca8ab,2
prm-14e2f6c826426674,problem-8e94732caeed5f9b,0
prm-2d92ce0491f2f56a,problem-5d4e128b653312de,2
prm-666a954e3bca4a2f,problem-9d135f320cbe07b9,2
prm-6eb49d110f10f5c9,problem-116237dfe3dbfe5a,2
prm-695b2bd8829139af,problem-f83aecab9faccb6c,3
