task,model,model_label,metric,estimate,ci_lower,ci_upper,n_runs,n_positive,base_rate,cv_unit,folds,bootstrap_replicates
danger,A,Rating-only,auroc,0.422881,0.355245,0.490517,1353,204,0.150776,problem_id,5,5000
danger,A,Rating-only,auprc,0.138927,0.096921,0.178429,1353,204,0.150776,problem_id,5,5000
danger,A,Rating-only,brier,0.253523,0.248375,0.259337,1353,204,0.150776,problem_id,5,5000
danger,A,Rating-only,ece_10bin,0.346037,0.293645,0.389864,1353,204,0.150776,problem_id,5,5000
danger,A,Rating-only,specificity_at_0.5,0.516511,0.408417,0.596158,1353,204,0.150776,problem_id,5,5000
danger,A,Rating-only,coverage_at_90pct_precision,0.001423,0.000000,0.004270,1353,204,0.150776,problem_id,5,5000
danger,A,Rating-only,coverage_at_95pct_precision,0.001423,0.000000,0.004270,1353,204,0.150776,problem_id,5,5000
danger,B,Type-only,auroc,0.550938,0.502002,0.603248,1353,204,0.150776,problem_id,5,5000
danger,B,Type-only,auprc,0.207888,0.169955,0.244743,1353,204,0.150776,problem_id,5,5000
danger,B,Type-only,brier,0.248573,0.240289,0.256458,1353,204,0.150776,problem_id,5,5000
danger,B,Type-only,ece_10bin,0.344247,0.288933,0.393661,1353,204,0.150776,problem_id,5,5000
danger,B,Type-only,specificity_at_0.5,0.450686,0.376173,0.527031,1353,204,0.150776,problem_id,5,5000
danger,B,Type-only,coverage_at_90pct_precision,0.005400,0.000685,0.010799,1353,204,0.150776,problem_id,5,5000
danger,B,Type-only,coverage_at_95pct_precision,0.005400,0.000685,0.010799,1353,204,0.150776,problem_id,5,5000
danger,C,Rating + Type,auroc,0.431035,0.393638,0.468277,1353,204,0.150776,problem_id,5,5000
danger,C,Rating + Type,auprc,0.140183,0.098821,0.188420,1353,204,0.150776,problem_id,5,5000
danger,C,Rating + Type,brier,0.257411,0.244349,0.271527,1353,204,0.150776,problem_id,5,5000
danger,C,Rating + Type,ece_10bin,0.345319,0.285401,0.399324,1353,204,0.150776,problem_id,5,5000
danger,C,Rating + Type,specificity_at_0.5,0.672154,0.515284,0.829023,1353,204,0.150776,problem_id,5,5000
danger,C,Rating + Type,coverage_at_90pct_precision,0.000000,0.000000,0.000000,1353,204,0.150776,problem_id,5,5000
danger,C,Rating + Type,coverage_at_95pct_precision,0.000000,0.000000,0.000000,1353,204,0.150776,problem_id,5,5000
danger,D,Static context,auroc,0.512090,0.486402,0.543414,1353,204,0.150776,problem_id,5,5000
danger,D,Static context,auprc,0.159998,0.118648,0.207811,1353,204,0.150776,problem_id,5,5000
danger,D,Static context,brier,0.248662,0.242310,0.256050,1353,204,0.150776,problem_id,5,5000
danger,D,Static context,ece_10bin,0.333694,0.288331,0.376481,1353,204,0.150776,problem_id,5,5000
danger,D,Static context,specificity_at_0.5,0.586852,0.537648,0.636825,1353,204,0.150776,problem_id,5,5000
danger,D,Static context,coverage_at_90pct_precision,0.000000,0.000000,0.000000,1353,204,0.150776,problem_id,5,5000
danger,D,Static context,coverage_at_95pct_precision,0.000000,0.000000,0.000000,1353,204,0.150776,problem_id,5,5000
danger,E,Trajectory state (oracle/extra-compute),auroc,0.585130,0.527224,0.652986,1353,204,0.150776,problem_id,5,5000
danger,E,Trajectory state (oracle/extra-compute),auprc,0.262906,0.184835,0.340978,1353,204,0.150776,problem_id,5,5000
