step_id,problem_id,run_id,pair_id,fold,prm_rating,step_type_analysis,position_bin,target_tokens,prefix_tokens,control_correct_frequency,control_correct,target_correct,danger_outcome,benefit_outcome
prm-c1da18d5eb32eafe,problem-ced521d94764b4a3,1,prm-c1da18d5eb32eafe|run1,1,1,essential,early,75,624,0/4,0,0,0,0
prm-c1da18d5eb32eafe,problem-ced521d94764b4a3,2,prm-c1da18d5eb32eafe|run2,1,1,essential,early,75,624,0/4,0,0,0,0
prm-c1da18d5eb32eafe,problem-ced521d94764b4a3,3,prm-c1da18d5eb32eafe|run3,1,1,essential,early,75,624,0/4,0,0,0,0
prm-c1da18d5eb32eafe,problem-ced521d94764b4a3,4,prm-c1da18d5eb32eafe|run4,1,1,essential,early,75,624,0/4,0,0,0,0
prm-23439bf6a10e0389,problem-32c3cda4fa5ff5d1,1,prm-23439bf6a10e0389|run1,2,1,redundant,middle,29,795,4/4,1,1,0,0
prm-23439bf6a10e0389,problem-32c3cda4fa5ff5d1,2,prm-23439bf6a10e0389|run2,2,1,redundant,middle,29,795,4/4,1,1,0,0
prm-23439bf6a10e0389,problem-32c3cda4fa5ff5d1,3,prm-23439bf6a10e0389|run3,2,1,redundant,middle,29,795,4/4,1,1,0,0
prm-23439bf6a10e0389,problem-32c3cda4fa5ff5d1,4,prm-23439bf6a10e0389|run4,2,1,redundant,middle,29,795,4/4,1,1,0,0
prm-9a6f73708a6d6a9f,problem-21b63c00bc0a7ef6,1,prm-9a6f73708a6d6a9f|run1,1,1,essential,early,91,384,4/4,1,0,1,0
prm-9a6f73708a6d6a9f,problem-21b63c00bc0a7ef6,2,prm-9a6f73708a6d6a9f|run2,1,1,essential,early,91,384,4/4,1,0,1,0
prm-9a6f73708a6d6a9f,problem-21b63c00bc0a7ef6,3,prm-9a6f73708a6d6a9f|run3,1,1,essential,early,91,384,4/4,1,0,1,0
prm-9a6f73708a6d6a9f,problem-21b63c00bc0a7ef6,4,prm-9a6f73708a6d6a9f|run4,1,1,essential,early,91,384,4/4,1,0,1,0
prm-7c4b728ac8b7ff8c,problem-3d1f09ed5cfd53dc,1,prm-7c4b728ac8b7ff8c|run1,0,0,redundant,early,25,422,4/4,1,1,0,0
prm-7c4b728ac8b7ff8c,problem-3d1f09ed5cfd53dc,2,prm-7c4b728ac8b7ff8c|run2,0,0,redundant,early,25,422,4/4,1,1,0,0
prm-7c4b728ac8b7ff8c,problem-3d1f09ed5cfd53dc,3,prm-7c4b728ac8b7ff8c|run3,0,0,redundant,early,25,422,4/4,1,1,0,0
prm-7c4b728ac8b7ff8c,problem-3d1f09ed5cfd53dc,4,prm-7c4b728ac8b7ff8c|run4,0,0,redundant,early,25,422,4/4,1,1,0,0
prm-b4172ae8c86b6f76,problem-d3610a7a74514575,1,prm-b4172ae8c86b6f76|run1,3,0,redundant,early,36,659,1/4,0,1,0,1
prm-b4172ae8c86b6f76,problem-d3610a7a74514575,2,prm-b4172ae8c86b6f76|run2,3,0,redundant,early,36,659,1/4,1,1,0,0
prm-b4172ae8c86b6f76,problem-d3610a7a74514575,3,prm-b4172ae8c86b6f76|run3,3,0,redundant,early,36,659,1/4,0,1,0,1
prm-b4172ae8c86b6f76,problem-d3610a7a74514575,4,prm-b4172ae8c86b6f76|run4,3,0,redundant,early,36,659,1/4,0,1,0,1
prm-a9976436ac395dce,problem-32b099c0f5aec3b1,1,prm-a9976436ac395dce|run1,1,0,essential,middle,38,664,0/4,0,0,0,0
prm-a9976436ac395dce,problem-32b099c0f5aec3b1,2,prm-a9976436ac395dce|run2,1,0,essential,middle,38,664,0/4,0,0,0,0
prm-a9976436ac395dce,problem-32b099c0f5aec3b1,3,prm-a9976436ac395dce|run3,1,0,essential,middle,38,664,0/4,0,0,0,0
prm-a9976436ac395dce,problem-32b099c0f5aec3b1,4,prm-a9976436ac395dce|run4,1,0,essential,middle,38,664,0/4,0,0,0,0
prm-57f3dc0fcc359327,problem-6bb3caecbae2a0c3,1,prm-57f3dc0fcc359327|run1,3,-1,essential,early,54,354,1/4,0,0,0,0
prm-57f3dc0fcc359327,problem-6bb3caecbae2a0c3,2,prm-57f3dc0fcc359327|run2,3,-1,essential,early,54,354,1/4,0,1,0,1
prm-57f3dc0fcc359327,problem-6bb3caecbae2a0c3,3,prm-57f3dc0fcc359327|run3,3,-1,essential,early,54,354,1/4,0,0,0,0
prm-57f3dc0fcc359327,problem-6bb3caecbae2a0c3,4,prm-57f3dc0fcc359327|run4,3,-1,essential,early,54,354,1/4,1,0,1,0
prm-3e4ac009eae25363,problem-71eae2be9ad19da7,1,prm-3e4ac009eae25363|run1,3,-1,harmful,late,58,619,0/4,0,1,0,1
prm-3e4ac009eae25363,problem-71eae2be9ad19da7,2,prm-3e4ac009eae25363|run2,3,-1,harmful,late,58,619,0/4,0,1,0,1
prm-3e4ac009eae25363,problem-71eae2be9ad19da7,3,prm-3e4ac009eae25363|run3,3,-1,harmful,late,58,619,0/4,0,1,0,1
prm-3e4ac009eae25363,problem-71eae2be9ad19da7,4,prm-3e4ac009eae25363|run4,3,-1,harmful,late,58,619,0/4,0,1,0,1
prm-734c17ddd0cff62a,problem-6c70163ce817add4,1,prm-734c17ddd0cff62a|run1,3,1,essential,early,24,401,4/4,1,1,0,0
prm-734c17ddd0cff62a,problem-6c70163ce817add4,2,prm-734c17ddd0cff62a|run2,3,1,essential,early,24,401,4/4,1,1,0,0
prm-734c17ddd0cff62a,problem-6c70163ce817add4,3,prm-734c17ddd0cff62a|run3,3,1,essential,early,24,401,4/4,1,1,0,0
