task,model,coverage,observed_benefit_precision,selected_runs
benefit,A,0.05,0.25,52
benefit,A,0.1,0.23809523809523808,105
benefit,A,0.15,0.31210191082802546,157
benefit,A,0.2,0.33014354066985646,209
benefit,A,0.25,0.3053435114503817,262
benefit,A,0.3,0.3184713375796178,314
benefit,A,0.35,0.36885245901639346,366
benefit,A,0.4,0.3532219570405728,419
benefit,A,0.45,0.35881104033970274,471
benefit,A,0.5,0.37213740458015265,524
benefit,A,0.55,0.3732638888888889,576
benefit,A,0.6,0.36942675159235666,628
benefit,A,0.65,0.36270190895741555,681
benefit,A,0.7,0.3587994542974079,733
benefit,A,0.75,0.3579617834394904,785
benefit,A,0.8,0.360381861575179,838
benefit,A,0.85,0.36292134831460676,890
benefit,A,0.9,0.35881104033970274,942
benefit,A,0.95,0.3577889447236181,995
benefit,A,1.0,0.3600764087870105,1047
benefit,C,0.05,0.19230769230769232,52
benefit,C,0.1,0.3047619047619048,105
benefit,C,0.15,0.2802547770700637,157
benefit,C,0.2,0.2583732057416268,209
benefit,C,0.25,0.3015267175572519,262
benefit,C,0.3,0.2898089171974522,314
benefit,C,0.35,0.30327868852459017,366
benefit,C,0.4,0.315035799522673,419
benefit,C,0.45,0.3227176220806794,471
benefit,C,0.5,0.33587786259541985,524
benefit,C,0.55,0.3715277777777778,576
benefit,C,0.6,0.3678343949044586,628
benefit,C,0.65,0.36123348017621143,681
benefit,C,0.7,0.35470668485675305,733
benefit,C,0.75,0.35159235668789807,785
benefit,C,0.8,0.3460620525059666,838
benefit,C,0.85,0.34606741573033706,890
benefit,C,0.9,0.3662420382165605,942
benefit,C,0.95,0.36482412060301506,995
benefit,C,1.0,0.3600764087870105,1047
benefit,E,0.05,0.5384615384615384,52
benefit,E,0.1,0.47619047619047616,105
benefit,E,0.15,0.47770700636942676,157
benefit,E,0.2,0.47368421052631576,209
benefit,E,0.25,0.4732824427480916,262
benefit,E,0.3,0.4713375796178344,314
benefit,E,0.35,0.4781420765027322,366
benefit,E,0.4,0.48448687350835323,419
benefit,E,0.45,0.45222929936305734,471
benefit,E,0.5,0.4389312977099237,524
benefit,E,0.55,0.421875,576
benefit,E,0.6,0.4012738853503185,628
benefit,E,0.65,0.3935389133627019,681
benefit,E,0.7,0.3792633015006821,733
benefit,E,0.75,0.3668789808917197,785
benefit,E,0.8,0.3711217183770883,838
benefit,E,0.85,0.3685393258426966,890
benefit,E,0.9,0.37048832271762205,942
benefit,E,0.95,0.3658291457286432,995
benefit,E,1.0,0.3600764087870105,1047
