task,model,coverage,observed_danger_rate,selected_runs
danger,A,0.05,0.2647058823529412,68
danger,A,0.1,0.16296296296296298,135
danger,A,0.15,0.17733990147783252,203
danger,A,0.2,0.15129151291512916,271
danger,A,0.25,0.15384615384615385,338
danger,A,0.3,0.15517241379310345,406
danger,A,0.35,0.17932489451476794,474
danger,A,0.4,0.20147874306839186,541
danger,A,0.45,0.18719211822660098,609
danger,A,0.5,0.17751479289940827,676
danger,A,0.55,0.17876344086021506,744
danger,A,0.6,0.17980295566502463,812
danger,A,0.65,0.17178612059158135,879
danger,A,0.7,0.16578669482576558,947
danger,A,0.75,0.1684729064039409,1015
danger,A,0.8,0.16820702402957485,1082
danger,A,0.85,0.1608695652173913,1150
danger,A,0.9,0.1592775041050903,1218
danger,A,0.95,0.15642023346303502,1285
danger,A,1.0,0.15077605321507762,1353
danger,C,0.05,0.3088235294117647,68
danger,C,0.1,0.3333333333333333,135
danger,C,0.15,0.22660098522167488,203
danger,C,0.2,0.2029520295202952,271
danger,C,0.25,0.19822485207100593,338
danger,C,0.3,0.2044334975369458,406
danger,C,0.35,0.21729957805907174,474
danger,C,0.4,0.2033271719038817,541
danger,C,0.45,0.1921182266009852,609
danger,C,0.5,0.1878698224852071,676
danger,C,0.55,0.18951612903225806,744
danger,C,0.6,0.18226600985221675,812
danger,C,0.65,0.1751990898748578,879
danger,C,0.7,0.1689545934530095,947
danger,C,0.75,0.15960591133004925,1015
danger,C,0.8,0.16173752310536044,1082
danger,C,0.85,0.16,1150
danger,C,0.9,0.1592775041050903,1218
danger,C,0.95,0.15408560311284047,1285
danger,C,1.0,0.15077605321507762,1353
danger,E,0.05,0.2647058823529412,68
danger,E,0.1,0.2222222222222222,135
danger,E,0.15,0.15763546798029557,203
danger,E,0.2,0.13284132841328414,271
danger,E,0.25,0.11538461538461539,338
danger,E,0.3,0.11576354679802955,406
danger,E,0.35,0.12025316455696203,474
danger,E,0.4,0.10536044362292052,541
danger,E,0.45,0.10509031198686371,609
danger,E,0.5,0.10502958579881656,676
danger,E,0.55,0.11424731182795698,744
danger,E,0.6,0.11945812807881774,812
danger,E,0.65,0.1149032992036405,879
danger,E,0.7,0.12671594508975711,947
danger,E,0.75,0.13201970443349753,1015
danger,E,0.8,0.12846580406654343,1082
danger,E,0.85,0.13043478260869565,1150
danger,E,0.9,0.13793103448275862,1218
danger,E,0.95,0.13929961089494164,1285
danger,E,1.0,0.15077605321507762,1353
