"sampleId","rating","stepTypeLabel","position","placeboRuns","placeboCorrect","controlAvgCorrect","targetAvgCorrect","placeboAvgCorrect","targetEffect","placeboEffect","pureSemanticEffect"
"prm-0000660f74dea7ea","0","harmful","middle","2","0","0","0","0","0","0","0"
"prm-00177cb1b6246e3e","1","essential","late","4","2","1","1","0.5","0","-0.5","0.5"
"prm-00c77d8adaa4cb57","-1","harmful","early","1","0","0","0","0","0","0","0"
"prm-010e43e3a679e690","1","essential","middle","3","3","1","1","1","0","0","0"
"prm-01441d1b7d95366c","1","essential","middle","1","0","0","1","0","1","0","1"
"prm-015f040f29e2b298","0","essential","early","4","2","1","0","0.5","-1","-0.5","-0.5"
"prm-0219e874907d9144","0","essential","late","4","2","0","0","0.5","0","0.5","-0.5"
"prm-02dc733a400c8a44","-1","harmful","early","4","2","0.5","0.75","0.5","0.25","0","0.25"
"prm-02ed1bb8af1a120d","1","redundant","early","4","0","0","0","0","0","0","0"
"prm-04b463c60fdb3f38","0","redundant","late","4","4","1","1","1","0","0","0"
"prm-059a20c710a38a1d","0","redundant","middle","4","4","1","1","1","0","0","0"
"prm-05db80661c2eea87","0","redundant","late","4","4","1","1","1","0","0","0"
"prm-060b37de44a23f9c","1","redundant","late","3","2","1","0","0.666666666666667","-1","-0.333333333333333","-0.666666666666667"
"prm-0638bc02d0338441","1","essential","middle","4","3","1","1","0.75","0","-0.25","0.25"
"prm-0700321e0038e3d1","0","redundant","early","1","1","1","0","1","-1","0","-1"
"prm-0796ce8561574c8c","1","essential","late","4","3","1","1","0.75","0","-0.25","0.25"
"prm-08169263b46b6a22","1","essential","middle","4","4","1","1","1","0","0","0"
"prm-0835351a60d3a191","1","essential","early","4","0","0.5","0","0","-0.5","-0.5","0"
"prm-08ffb439fa587578","1","essential","middle","4","4","1","1","1","0","0","0"
"prm-090c92a536a6f7cf","0","redundant","early","2","0","0","0.25","0","0.25","0","0.25"
"prm-0914b22e28651211","0","redundant","early","4","4","1","0","1","-1","0","-1"
"prm-0ade6393f937db17","1","redundant","middle","1","1","1","1","1","0","0","0"
"prm-0b28d0082685012b","0","redundant","early","4","0","0","0","0","0","0","0"
"prm-0b2c173096bce7b5","1","essential","early","4","2","0","0","0.5","0","0.5","-0.5"
"prm-0cbc0287aab226af","0","harmful","middle","3","1","0.5","0","0.333333333333333","-0.5","-0.166666666666667","-0.333333333333333"
"prm-0d673acec3561559","-1","harmful","middle","4","0","0.25","0.5","0","0.25","-0.25","0.5"
"prm-0e94635dc190f6f1","0","redundant","middle","4","3","0","0.75","0.75","0.75","0.75","0"
"prm-0ea143eb25e18743","0","essential","middle","2","0","0","0","0","0","0","0"
"prm-0ff002313a594db0","0","redundant","early","4","4","0","1","1","1","1","0"
"prm-102acf97bfdd07f4","0","redundant","late","4","4","1","1","1","0","0","0"
"prm-1032a7112c293158","1","redundant","early","4","0","0","0","0","0","0","0"
"prm-11c64fcd9adf9a8d","0","harmful","early","1","0","0","0","0","0","0","0"
"prm-12bc5c8b425e5765","1","essential","late","2","2","0","0","1","0","1","-1"
"prm-1368cc3f0e85c6c9","1","redundant","middle","1","1","1","1","1","0","0","0"
"prm-14c85f1b92bf8cfb","-1","harmful","middle","1","0","1","1","0","0","-1","1"
"prm-14d4896af9e2f42b","-1","harmful","early","3","0","0","0","0","0","0","0"
"prm-14e2f6c826426674","0","redundant","early","4","2","1","1","0.5","0","-0.5","0.5"
