dimension,group,stability_category,steps,category_count,category_share,mean_target_effect,placebo_eligible_steps,mean_pure_semantic_effect,sign_conflict_steps
overall,Overall,Strongly beneficial,600,99,0.165000,0.072083,511,0.085453,9
overall,Overall,Weakly beneficial,600,33,0.055000,0.072083,511,0.085453,9
overall,Overall,Strongly harmful,600,57,0.095000,0.072083,511,0.085453,9
overall,Overall,Weakly harmful,600,25,0.041667,0.072083,511,0.085453,9
overall,Overall,Mixed / unstable,600,9,0.015000,0.072083,511,0.085453,9
overall,Overall,Stable no-change,600,377,0.628333,0.072083,511,0.085453,9
prm_rating,-1,Strongly beneficial,200,55,0.275000,0.220000,169,0.133136,5
prm_rating,-1,Weakly beneficial,200,9,0.045000,0.220000,169,0.133136,5
prm_rating,-1,Strongly harmful,200,8,0.040000,0.220000,169,0.133136,5
prm_rating,-1,Weakly harmful,200,7,0.035000,0.220000,169,0.133136,5
prm_rating,-1,Mixed / unstable,200,5,0.025000,0.220000,169,0.133136,5
prm_rating,-1,Stable no-change,200,116,0.580000,0.220000,169,0.133136,5
prm_rating,0,Strongly beneficial,200,25,0.125000,0.002500,176,0.066288,2
prm_rating,0,Weakly beneficial,200,10,0.050000,0.002500,176,0.066288,2
prm_rating,0,Strongly harmful,200,26,0.130000,0.002500,176,0.066288,2
prm_rating,0,Weakly harmful,200,8,0.040000,0.002500,176,0.066288,2
prm_rating,0,Mixed / unstable,200,2,0.010000,0.002500,176,0.066288,2
prm_rating,0,Stable no-change,200,129,0.645000,0.002500,176,0.066288,2
prm_rating,1,Strongly beneficial,200,19,0.095000,-0.006250,166,0.057229,2
prm_rating,1,Weakly beneficial,200,14,0.070000,-0.006250,166,0.057229,2
prm_rating,1,Strongly harmful,200,23,0.115000,-0.006250,166,0.057229,2
prm_rating,1,Weakly harmful,200,10,0.050000,-0.006250,166,0.057229,2
prm_rating,1,Mixed / unstable,200,2,0.010000,-0.006250,166,0.057229,2
prm_rating,1,Stable no-change,200,132,0.660000,-0.006250,166,0.057229,2
step_type_analysis,essential,Strongly beneficial,165,17,0.103030,-0.012121,144,0.029514,4
step_type_analysis,essential,Weakly beneficial,165,9,0.054545,-0.012121,144,0.029514,4
step_type_analysis,essential,Strongly harmful,165,22,0.133333,-0.012121,144,0.029514,4
step_type_analysis,essential,Weakly harmful,165,7,0.042424,-0.012121,144,0.029514,4
step_type_analysis,essential,Mixed / unstable,165,4,0.024242,-0.012121,144,0.029514,4
