step_id,rating,type_hc,cell,control_runs,target_runs,placebo_runs,control_rate,target_rate,target_effect,placebo_rate,placebo_effect,pure_semantic_effect
prm-2e89a40cec48c042,-1,harmful,rating-1_anchor,3,3,3,1.0,1.0,0.0,1.0,0.0,0.0
prm-cea36bdf052fa8d6,-1,harmful,rating-1_anchor,3,3,3,1.0,1.0,0.0,1.0,0.0,0.0
prm-2a5b9be75f2130c8,-1,harmful,rating-1_anchor,3,3,3,1.0,1.0,0.0,1.0,0.0,0.0
prm-1ef2f094b18fa4d5,-1,harmful,rating-1_anchor,3,3,3,1.0,1.0,0.0,0.3333333333333333,-0.6666666666666667,0.6666666666666667
prm-8115590161527562,-1,harmful,rating-1_anchor,3,3,3,1.0,1.0,0.0,1.0,0.0,0.0
prm-02dc733a400c8a44,-1,harmful,rating-1_anchor,3,3,3,1.0,1.0,0.0,1.0,0.0,0.0
prm-ac1b5da6715754b0,-1,harmful,rating-1_anchor,3,3,3,1.0,0.3333333333333333,-0.6666666666666667,0.6666666666666666,-0.33333333333333337,-0.3333333333333333
prm-911d5b9b5b289e39,-1,harmful,rating-1_anchor,3,3,3,1.0,1.0,0.0,0.6666666666666666,-0.33333333333333337,0.33333333333333337
prm-c502b3dc0f88dfaf,-1,harmful,rating-1_anchor,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0
prm-bf49cda9c1b58b99,-1,harmful,rating-1_anchor,3,3,3,0.6666666666666666,0.6666666666666666,0.0,1.0,0.33333333333333337,-0.33333333333333337
prm-bf052d7ceb54371a,-1,harmful,rating-1_anchor,3,3,3,1.0,1.0,0.0,1.0,0.0,0.0
prm-52ebf116b73ecf1a,-1,harmful,rating-1_anchor,3,3,3,0.6666666666666666,1.0,0.33333333333333337,0.6666666666666666,0.0,0.33333333333333337
prm-17fa230838c04542,-1,harmful,rating-1_anchor,3,3,3,1.0,1.0,0.0,0.6666666666666666,-0.33333333333333337,0.33333333333333337
prm-bcf33e68e625980e,-1,harmful,rating-1_anchor,3,3,3,1.0,1.0,0.0,0.6666666666666666,-0.33333333333333337,0.33333333333333337
prm-9eb976f5fba8a1ea,-1,harmful,rating-1_anchor,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0
prm-b93ffe4952ee0425,-1,harmful,rating-1_anchor,3,3,3,1.0,1.0,0.0,0.6666666666666666,-0.33333333333333337,0.33333333333333337
prm-70a8ec8eb124a0b7,-1,harmful,rating-1_anchor,3,3,3,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
prm-7a6e2d9a9da28f78,-1,harmful,rating-1_anchor,3,3,3,1.0,1.0,0.0,1.0,0.0,0.0
