group,estimand,steps,estimate_pp,ci_lower_pp,ci_upper_pp
overall,target_effect,300,-2.00,-5.33,1.22
overall,placebo_legacy_effect,297,-1.68,-5.16,1.91
overall,legacy_semantic_effect,297,-0.56,-4.38,3.14
overall,placebo_own_effect,297,3.40,0.36,6.51
overall,did_semantic_effect,297,-5.64,-10.30,-1.12
rating=-1_anchor,target_effect,100,-3.00,-8.01,2.33
rating=-1_anchor,placebo_legacy_effect,100,-5.67,-11.67,0.00
rating=-1_anchor,legacy_semantic_effect,100,2.67,-3.67,9.00
rating=-1_anchor,placebo_own_effect,100,0.50,-4.59,5.75
rating=-1_anchor,did_semantic_effect,100,-3.50,-11.50,4.33
rating=0,target_effect,100,-2.00,-6.67,3.00
rating=0,placebo_legacy_effect,100,-1.00,-6.33,4.33
rating=0,legacy_semantic_effect,100,-1.00,-6.33,4.00
rating=0,placebo_own_effect,100,4.42,0.16,9.08
rating=0,did_semantic_effect,100,-6.42,-12.59,-0.00
rating=1,target_effect,100,-1.00,-7.67,5.34
rating=1,placebo_legacy_effect,97,1.72,-5.15,8.59
rating=1,legacy_semantic_effect,97,-3.44,-11.00,3.78
rating=1,placebo_own_effect,97,5.33,-0.69,11.60
rating=1,did_semantic_effect,97,-7.04,-16.84,2.32
stable_correct,target_effect,80,-4.17,-10.83,2.50
stable_correct,placebo_legacy_effect,80,-0.83,-8.33,7.08
stable_correct,legacy_semantic_effect,80,-3.33,-10.83,4.17
stable_correct,placebo_own_effect,80,4.90,-1.35,11.25
stable_correct,did_semantic_effect,80,-9.06,-18.65,0.11
