group,estimand,steps,estimate_pp,ci_lower_pp,ci_upper_pp
overall,target_effect,297,12.57,8.42,16.95
overall,placebo_own_effect,297,1.52,-1.85,4.85
overall,placebo_legacy_effect,297,2.64,-1.99,7.10
overall,did_semantic_effect,297,11.05,5.61,16.50
overall,legacy_semantic_effect,297,9.93,5.72,14.17
rating-1_anchor,target_effect,100,33.67,25.33,42.00
rating-1_anchor,placebo_own_effect,100,-1.25,-6.58,3.83
rating-1_anchor,placebo_legacy_effect,100,15.25,6.08,24.42
rating-1_anchor,did_semantic_effect,100,34.92,25.83,44.67
rating-1_anchor,legacy_semantic_effect,100,18.42,10.58,26.33
rating0_stable,target_effect,40,-0.83,-10.83,9.17
rating0_stable,placebo_own_effect,40,2.71,-8.54,12.92
rating0_stable,placebo_legacy_effect,40,-6.04,-16.04,3.75
rating0_stable,did_semantic_effect,40,-3.54,-16.25,9.58
rating0_stable,legacy_semantic_effect,40,5.21,-7.08,17.08
rating0_other,target_effect,60,3.33,-5.00,11.67
rating0_other,placebo_own_effect,60,5.00,-2.36,12.22
rating0_other,placebo_legacy_effect,60,5.56,-3.89,14.86
rating0_other,did_semantic_effect,60,-1.67,-12.78,9.31
rating0_other,legacy_semantic_effect,60,-2.22,-10.83,6.81
rating1_stable,target_effect,40,5.83,-0.83,12.50
rating1_stable,placebo_own_effect,40,5.42,-5.83,17.08
rating1_stable,placebo_legacy_effect,40,-13.33,-21.67,-5.00
rating1_stable,did_semantic_effect,40,0.42,-13.33,14.17
rating1_stable,legacy_semantic_effect,40,19.17,10.83,28.33
rating1_other,target_effect,57,-0.58,-8.19,7.02
rating1_other,placebo_own_effect,57,-0.88,-7.89,5.99
rating1_other,placebo_legacy_effect,57,-5.26,-15.06,4.39
rating1_other,did_semantic_effect,57,0.29,-9.50,10.24
rating1_other,legacy_semantic_effect,57,4.68,-4.39,13.74
