group,estimand,steps,estimate_pp,ci_lower_pp,ci_upper_pp
overall,target_effect,511,7.97,4.21,11.69
overall,placebo_own_effect,511,0.46,-2.02,2.98
overall,placebo_legacy_effect,511,-0.57,-4.19,3.08
overall,did_semantic_effect,511,7.52,2.79,12.36
overall,legacy_semantic_effect,511,8.55,5.01,12.20
anchor_rating-1xHarmful,target_effect,151,23.84,16.89,31.29
anchor_rating-1xHarmful,placebo_own_effect,151,-1.60,-6.46,3.20
anchor_rating-1xHarmful,placebo_legacy_effect,151,9.99,3.04,16.94
anchor_rating-1xHarmful,did_semantic_effect,151,25.44,16.06,34.88
anchor_rating-1xHarmful,legacy_semantic_effect,151,13.85,6.95,20.53
rating=-1,target_effect,169,22.78,15.98,29.73
rating=-1,placebo_own_effect,169,-0.69,-5.18,3.70
rating=-1,placebo_legacy_effect,169,9.47,3.01,16.27
rating=-1,did_semantic_effect,169,23.47,14.40,32.54
rating=-1,legacy_semantic_effect,169,13.31,6.80,19.87
rating=0,target_effect,176,0.99,-5.40,7.25
rating=0,placebo_own_effect,176,2.84,-1.33,7.10
rating=0,placebo_legacy_effect,176,-5.63,-11.93,0.71
rating=0,did_semantic_effect,176,-1.85,-9.66,5.97
rating=0,legacy_semantic_effect,176,6.63,0.28,13.16
rating=1,target_effect,166,0.30,-5.12,5.87
rating=1,placebo_own_effect,166,-0.90,-4.92,3.11
rating=1,placebo_legacy_effect,166,-5.42,-11.60,0.55
rating=1,did_semantic_effect,166,1.20,-5.87,8.38
rating=1,legacy_semantic_effect,166,5.72,-0.15,11.50
harmful,target_effect,201,18.41,12.06,24.88
harmful,placebo_own_effect,201,-1.74,-5.97,2.32
harmful,placebo_legacy_effect,201,3.57,-2.28,9.87
harmful,did_semantic_effect,201,20.15,12.02,28.36
harmful,legacy_semantic_effect,201,14.84,8.79,20.69
