signal,steps_covered,danger_auroc_highscore_warns,danger_auprc,benefit_auroc_lowscore_flags,benefit_auprc,spearman_score_vs_delta,spearman_score_vs_semantic_matched,matched_steps
prm800k_rating,600,0.5648,0.1744,0.6051,0.3383,-0.1913,-0.0688,511
human_calibrated_type,600,0.5723,0.1937,0.5706,0.3043,-0.1501,-0.0586,511
initial_type,600,0.5667,0.1877,0.5954,0.3280,-0.1784,-0.1149,511
step_entropy_negated,600,0.4618,0.1512,0.4822,0.2364,0.0486,-0.0592,511
step_nll_negated,600,0.4962,0.1541,0.4878,0.2234,0.0166,-0.0505,511
mask_answer_logp_drop,600,0.5558,0.1864,0.5687,0.3042,-0.1220,-0.0683,511
actual_prm:google_gemini_2_5_flash,599,0.5314,0.1594,0.5111,0.2458,-0.0578,0.0230,511
actual_prm:microsoft_phi_4,600,0.4928,0.1358,0.4793,0.2269,0.0494,0.0425,511
actual_prm:qwen25_math_prm_7b,600,0.5732,0.1797,0.6091,0.3739,-0.1850,-0.0548,511
actual_prm_ensemble_mean,599,0.5576,0.1762,0.5784,0.2706,-0.1385,-0.0298,511
actual_prm_disagreement_negated,599,0.5658,0.1773,0.6170,0.3767,-0.1892,-0.0722,511
