group,estimand,steps,estimate_pp,ci_lower_pp,ci_upper_pp
overall,target_effect,300,12.44,8.33,16.78
overall,placebo_effect,297,2.47,-2.13,6.96
overall,pure_semantic_effect,297,10.10,5.95,14.25
rating=-1_anchor,target_effect,100,33.67,25.67,42.00
rating=-1_anchor,placebo_effect,100,15.33,6.33,24.33
rating=-1_anchor,pure_semantic_effect,100,18.33,10.67,26.00
rating=0,target_effect,100,1.67,-4.67,8.00
rating=0,placebo_effect,100,1.00,-6.00,8.00
rating=0,pure_semantic_effect,100,0.67,-6.67,8.00
rating=1,target_effect,100,2.00,-3.33,7.33
rating=1,placebo_effect,97,-9.28,-16.15,-2.41
rating=1,pure_semantic_effect,97,11.34,4.81,18.21
stable_correct,target_effect,80,2.50,-4.17,8.75
stable_correct,placebo_effect,80,-10.00,-16.67,-3.75
stable_correct,pure_semantic_effect,80,12.50,4.58,20.42
