step_id,problem_id,m2_cell,prm_rating,step_type_human_calibrated,position_bin,control_correct_count,placebo_eligible,qwen_target_effect,qwen_pure_semantic_effect
prm-f17b27e710e8f147,problem-81dd044c95a0fca3,rating-1_anchor,-1,harmful,early,0,1,0.0000,0.0000
prm-bf49cda9c1b58b99,problem-24416ee05263b731,rating-1_anchor,-1,harmful,early,4,1,0.0000,0.0000
prm-cea36bdf052fa8d6,problem-9377eb1958837bb7,rating-1_anchor,-1,harmful,early,0,1,0.0000,0.0000
prm-8115590161527562,problem-c4af92bf4d3d000a,rating-1_anchor,-1,harmful,early,0,1,0.0000,0.0000
prm-2e89a40cec48c042,problem-d3161eafd1210d42,rating-1_anchor,-1,harmful,early,0,1,1.0000,1.0000
prm-2a5b9be75f2130c8,problem-24cffc732716cb8f,rating-1_anchor,-1,harmful,early,0,1,1.0000,0.6667
prm-1ef2f094b18fa4d5,problem-9f3b9f8d7ae2958e,rating-1_anchor,-1,harmful,early,4,1,0.0000,1.0000
prm-ac1b5da6715754b0,problem-68c9e3705000687e,rating-1_anchor,-1,harmful,early,0,1,0.0000,0.0000
prm-02dc733a400c8a44,problem-4ad774d03e1d7ae9,rating-1_anchor,-1,harmful,early,2,1,0.2500,0.2500
prm-911d5b9b5b289e39,problem-234b319021dcf2a6,rating-1_anchor,-1,harmful,early,0,1,0.0000,0.0000
prm-c502b3dc0f88dfaf,problem-370853d31f3eb781,rating-1_anchor,-1,harmful,early,1,1,0.0000,0.0000
prm-e57bd8bedd80b00d,problem-377a092aa19d9ef0,rating-1_anchor,-1,harmful,early,3,1,-0.5000,-0.7500
prm-ce7da7c55243f250,problem-68c9e3705000687e,rating-1_anchor,-1,harmful,early,1,1,-0.2500,0.0000
prm-bf052d7ceb54371a,problem-d95c31385ad98554,rating-1_anchor,-1,harmful,early,0,1,0.2500,-0.2500
prm-52ebf116b73ecf1a,problem-5bc561169baa97f9,rating-1_anchor,-1,harmful,early,0,1,0.0000,0.0000
prm-17fa230838c04542,problem-2f7c46ab9eda1c84,rating-1_anchor,-1,harmful,early,4,1,-1.0000,-0.2500
prm-bcf33e68e625980e,problem-dbe25f76577aa227,rating-1_anchor,-1,harmful,early,0,1,0.0000,0.0000
prm-9eb976f5fba8a1ea,problem-88bd1d429ff4da88,rating-1_anchor,-1,harmful,early,0,1,0.0000,0.0000
prm-70a8ec8eb124a0b7,problem-bd24d198763397d2,rating-1_anchor,-1,harmful,early,0,1,0.2500,0.2500
prm-b93ffe4952ee0425,problem-2bb95410df5e904e,rating-1_anchor,-1,harmful,early,4,1,0.0000,1.0000
prm-7f470224e279c9a5,problem-d4b549c0bfc69f15,rating-1_anchor,-1,harmful,early,0,1,0.0000,-0.2500
prm-7a6e2d9a9da28f78,problem-cb95bc64c75cf167,rating-1_anchor,-1,harmful,early,0,1,0.2500,0.0000
prm-c3c805b2888f0c71,problem-ef20b746da9beeb2,rating-1_anchor,-1,harmful,early,4,1,-1.0000,0.0000
prm-a081faca165fd59b,problem-1ea3d389e0493b48,rating-1_anchor,-1,harmful,early,0,1,0.0000,0.0000
prm-5be58b31f228d28e,problem-dedb35fff0a06a5e,rating-1_anchor,-1,harmful,early,4,1,0.0000,0.5000
prm-2413c903941648a5,problem-118be303d7abffbe,rating-1_anchor,-1,harmful,early,0,1,1.0000,1.0000
prm-77fc0b169d8585bc,problem-dedb35fff0a06a5e,rating-1_anchor,-1,harmful,early,0,1,1.0000,1.0000
prm-695b2bd8829139af,problem-f83aecab9faccb6c,rating-1_anchor,-1,harmful,early,0,1,0.0000,0.0000
prm-3fb0a1041b0e6522,problem-d1c9cde932510127,rating-1_anchor,-1,harmful,early,0,1,1.0000,1.0000
prm-707a079b8cebba7e,problem-5bf83c63cfb01744,rating-1_anchor,-1,harmful,early,2,1,0.5000,0.5000
prm-1c1e7874f91737bc,problem-d3823d137562e66d,rating-1_anchor,-1,harmful,early,0,1,0.0000,0.0000
prm-57f3dc0fcc359327,problem-6bb3caecbae2a0c3,rating-1_anchor,-1,harmful,early,1,1,0.0000,0.2500
prm-c724e22efcbb6540,problem-4f1949500aa128e9,rating-1_anchor,-1,harmful,early,0,1,0.0000,0.0000
prm-14d4896af9e2f42b,problem-827611782a6a81f2,rating-1_anchor,-1,harmful,early,0,1,0.0000,0.0000
prm-6994d64b52995162,problem-5c91e3632a6bed3d,rating-1_anchor,-1,harmful,middle,0,1,0.2500,0.2500
prm-6a679885fe24ca4d,problem-108f81538ad8d2c1,rating-1_anchor,-1,harmful,middle,0,1,0.0000,0.0000
prm-c93b572ed45d09e3,problem-a54ef7e372ba2713,rating-1_anchor,-1,harmful,middle,4,1,0.0000,0.0000
prm-6c4e585fba73949f,problem-5932169135a7e725,rating-1_anchor,-1,harmful,middle,0,1,0.2500,0.0000
prm-f65a99197bf57f66,problem-4f1949500aa128e9,rating-1_anchor,-1,harmful,middle,0,1,0.0000,0.0000
prm-f7aa110cdcd4de1b,problem-a89fbb80da4fb265,rating-1_anchor,-1,harmful,middle,4,1,-0.2500,-0.2500
prm-7e6bdad2d7a80ef9,problem-fa8130795d8510ae,rating-1_anchor,-1,harmful,middle,4,1,0.0000,0.5000
prm-9c4e4a7aac1b200e,problem-498bac6c50d80f1b,rating-1_anchor,-1,harmful,middle,0,1,0.7500,0.7500
prm-4b587d923463065a,problem-5b1d584cfe23d7df,rating-1_anchor,-1,harmful,middle,0,1,0.0000,0.0000
prm-23547b2809b8fcf4,problem-02480d2c0415a281,rating-1_anchor,-1,harmful,middle,0,1,1.0000,1.0000
prm-56f31f0da676983f,problem-45d2328486552db2,rating-1_anchor,-1,harmful,middle,0,1,0.7500,0.2500
prm-60b56f07df1c7db4,problem-e6376885ffd20df9,rating-1_anchor,-1,harmful,middle,0,1,0.0000,0.0000
prm-579dd704ce645be9,problem-b5dc33c4111f2507,rating-1_anchor,-1,harmful,middle,0,1,0.0000,-0.6667
prm-98214e328bc84341,problem-210778075950cc2d,rating-1_anchor,-1,harmful,middle,0,1,1.0000,0.3333
prm-4657ae2feebcdcab,problem-e0cb6d0fac527a83,rating-1_anchor,-1,harmful,middle,0,1,1.0000,1.0000
prm-24135c674fb88634,problem-a5b3b535a7854a82,rating-1_anchor,-1,harmful,middle,0,1,1.0000,0.5000
prm-768b381d1efb643a,problem-0f8bfc43c716b9e1,rating-1_anchor,-1,harmful,middle,4,1,0.0000,0.0000
prm-9a884b78e7527ff9,problem-4928f50ac88f7a16,rating-1_anchor,-1,harmful,middle,4,1,0.0000,0.3333
prm-3f6d462098747631,problem-88bd1d429ff4da88,rating-1_anchor,-1,harmful,middle,0,1,0.0000,0.0000
prm-4e116a81462e9a1c,problem-9f3b9f8d7ae2958e,rating-1_anchor,-1,harmful,middle,0,1,1.0000,0.0000
prm-6bdba3a9023070a1,problem-a5b3b535a7854a82,rating-1_anchor,-1,harmful,middle,4,1,0.0000,0.0000
prm-94f01424485d8634,problem-76bb173b20d420b6,rating-1_anchor,-1,harmful,middle,4,1,0.0000,0.0000
prm-310884399c5179a6,problem-de4a1c58ecef901b,rating-1_anchor,-1,harmful,middle,0,1,1.0000,0.0000
prm-836cfecb0a834014,problem-0410748c1e76e3d4,rating-1_anchor,-1,harmful,middle,0,1,0.7500,0.4167
prm-1d5a5cb08ca68e3d,problem-d3e9908503944910,rating-1_anchor,-1,harmful,middle,0,1,0.7500,0.2500
prm-9f3753744da09c38,problem-81dd044c95a0fca3,rating-1_anchor,-1,harmful,middle,0,1,0.0000,0.0000
prm-8866ba0f5b250195,problem-ca5be300c2084b2c,rating-1_anchor,-1,harmful,middle,0,1,0.0000,0.0000
prm-33b6dd3dabd31070,problem-54691fce5a1342e9,rating-1_anchor,-1,harmful,middle,0,1,0.0000,0.0000
prm-e5a3f23bd55fe87a,problem-96c5e6371e5bca20,rating-1_anchor,-1,harmful,middle,0,1,0.0000,0.0000
prm-d87fe43bca23d224,problem-5c91e3632a6bed3d,rating-1_anchor,-1,harmful,middle,0,1,0.0000,-1.0000
prm-4ed42d1c12397218,problem-db31d840f82d7f2e,rating-1_anchor,-1,harmful,middle,0,1,0.0000,0.0000
prm-7a422bc7fddfdf54,problem-ee7c7225248fbed1,rating-1_anchor,-1,harmful,middle,1,1,-0.2500,-0.5000
prm-a15fb929dff59e97,problem-8e69fc01349a975d,rating-1_anchor,-1,harmful,middle,0,1,0.0000,0.0000
prm-52a853240fdce958,problem-0887851f3251fb23,rating-1_anchor,-1,harmful,late,0,1,0.0000,-1.0000
prm-1a376cfa6cfa9af8,problem-eed9594538d18b57,rating-1_anchor,-1,harmful,late,0,1,0.0000,0.0000
prm-2c6c822e00040ba8,problem-bf1b475d2d82a865,rating-1_anchor,-1,harmful,late,0,1,0.0000,0.0000
prm-23e4bf45fefddfca,problem-20855ff8e775267f,rating-1_anchor,-1,harmful,late,1,1,0.7500,1.0000
prm-1d89b199249c7358,problem-4f1949500aa128e9,rating-1_anchor,-1,harmful,late,0,1,0.0000,0.0000
prm-d10dadbf854a3250,problem-072eba222d902630,rating-1_anchor,-1,harmful,late,0,1,1.0000,0.7500
prm-158ef0683bb8bf70,problem-a153bf646bb8dfb0,rating-1_anchor,-1,harmful,late,4,1,0.0000,0.2500
prm-a7ee94dec2e0a9cc,problem-594ea12e92fffd95,rating-1_anchor,-1,harmful,late,4,1,0.0000,0.2500
prm-decee9499f5fb0d7,problem-ab7e10c4af73c9ed,rating-1_anchor,-1,harmful,late,0,1,1.0000,0.2500
prm-edfe3301d75e7278,problem-ea0162ad089adfef,rating-1_anchor,-1,harmful,late,0,1,0.0000,0.0000
prm-afff103ac71bacae,problem-0410748c1e76e3d4,rating-1_anchor,-1,harmful,late,0,1,1.0000,1.0000
prm-64052b65a1c192c7,problem-50586870d07058f9,rating-1_anchor,-1,harmful,late,0,1,0.0000,0.0000
prm-9db27c5e8855d8c2,problem-61623a4f6df2088f,rating-1_anchor,-1,harmful,late,4,1,0.0000,0.0000
prm-61fb797f33ef26d1,problem-32c3cda4fa5ff5d1,rating-1_anchor,-1,harmful,late,4,1,0.0000,0.2500
prm-e319831ecda4ad73,problem-4ee4220e8bc8cdab,rating-1_anchor,-1,harmful,late,4,1,0.0000,0.0000
prm-fa87724dc0063e72,problem-a4a92af384d88e0b,rating-1_anchor,-1,harmful,late,4,1,0.0000,0.0000
prm-8b05d5d648e57f29,problem-ab8474b5c891f6bb,rating-1_anchor,-1,harmful,late,0,1,0.0000,0.0000
prm-b8e3cc348f791b5a,problem-2ca7e059eeb0b7dd,rating-1_anchor,-1,harmful,late,4,1,0.0000,0.0000
prm-2fbe6edf19120d31,problem-3cbf37a65f1d222a,rating-1_anchor,-1,harmful,late,4,1,0.0000,0.0000
prm-f2aca719a99dc3e9,problem-5a8c50102096a59a,rating-1_anchor,-1,harmful,late,0,1,0.0000,-1.0000
