step_id,group,c0_control_rate,c1_target_rate,c2_placebo_rate,c2_placebo_runs,c3_paraphrase_rate,c3_paraphrase_runs,c1_vs_c2_target_specific,c3_vs_c0_surface_form,c1_vs_c3_semantic_removal,c1_vs_c0_raw
prm-02dc733a400c8a44,negative_anchor,0.5,0.75,0.5,4,0.75,4,0.25,0.25,0.0,0.25
prm-14c85f1b92bf8cfb,negative_anchor,1.0,1.0,0.0,4,0.0,4,1.0,-1.0,1.0,0.0
prm-14d4896af9e2f42b,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-17fa230838c04542,negative_anchor,1.0,0.0,0.0,4,0.75,4,0.0,-0.25,-0.75,-1.0
prm-1a376cfa6cfa9af8,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-1c1e7874f91737bc,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-1d89b199249c7358,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-1ef2f094b18fa4d5,negative_anchor,1.0,1.0,0.0,4,1.0,4,1.0,0.0,0.0,0.0
prm-24135c674fb88634,negative_anchor,0.0,1.0,0.25,4,0.0,4,0.75,0.0,1.0,1.0
prm-2a5b9be75f2130c8,negative_anchor,0.0,1.0,0.5,4,0.0,4,0.5,0.0,1.0,1.0
prm-2c6c822e00040ba8,negative_anchor,0.0,0.0,0.0,4,,,0.0,,,0.0
prm-2cb8f0ea41668c12,negative_anchor,0.0,0.0,0.5,4,0.75,4,-0.5,0.75,-0.75,0.0
prm-2e89a40cec48c042,negative_anchor,0.0,1.0,0.0,4,0.0,4,1.0,0.0,1.0,1.0
prm-2f5e5f1e6dacb0f7,negative_anchor,0.0,1.0,1.0,4,0.0,4,0.0,0.0,1.0,1.0
prm-2fbe6edf19120d31,negative_anchor,1.0,1.0,1.0,4,,,0.0,,,0.0
prm-310884399c5179a6,negative_anchor,0.0,1.0,1.0,4,0.0,4,0.0,0.0,1.0,1.0
prm-39445cabc3c247f3,negative_anchor,0.0,0.0,0.25,4,0.0,4,-0.25,0.0,0.0,0.0
prm-3d9ad8daca3b8faa,negative_anchor,1.0,1.0,0.5,4,1.0,4,0.5,0.0,0.0,0.0
prm-3e4ac009eae25363,negative_anchor,0.0,1.0,0.5,4,0.25,4,0.5,0.25,0.75,1.0
prm-3fb0a1041b0e6522,negative_anchor,0.0,1.0,0.0,4,0.0,4,1.0,0.0,1.0,1.0
prm-4b587d923463065a,negative_anchor,0.0,0.0,0.25,4,,,-0.25,,,0.0
prm-52a853240fdce958,negative_anchor,0.0,0.0,1.0,4,0.0,4,-1.0,0.0,0.0,0.0
prm-52ebf116b73ecf1a,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-5636d3dc1eb6633f,negative_anchor,1.0,1.0,0.75,4,1.0,4,0.25,0.0,0.0,0.0
prm-56f31f0da676983f,negative_anchor,0.0,0.75,0.75,4,1.0,4,0.0,1.0,-0.25,0.75
prm-579dd704ce645be9,negative_anchor,0.0,0.0,0.75,4,1.0,4,-0.75,1.0,-1.0,0.0
prm-57f3dc0fcc359327,negative_anchor,0.25,0.25,0.0,4,0.5,4,0.25,0.25,-0.25,0.0
prm-58392d69449f6f68,negative_anchor,0.0,0.0,0.0,4,0.5,4,0.0,0.5,-0.5,0.0
prm-5be58b31f228d28e,negative_anchor,1.0,1.0,0.0,4,0.0,4,1.0,-1.0,1.0,0.0
prm-61fb797f33ef26d1,negative_anchor,1.0,1.0,0.75,4,,,0.25,,,0.0
prm-64052b65a1c192c7,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-695b2bd8829139af,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-6994d64b52995162,negative_anchor,0.0,0.25,0.0,4,0.0,4,0.25,0.0,0.25,0.25
prm-6c4e585fba73949f,negative_anchor,0.0,0.25,0.0,4,0.0,4,0.25,0.0,0.25,0.25
prm-707a079b8cebba7e,negative_anchor,0.5,1.0,0.25,4,0.25,4,0.75,-0.25,0.75,0.5
prm-70a8ec8eb124a0b7,negative_anchor,0.0,0.25,0.0,4,0.0,4,0.25,0.0,0.25,0.25
prm-7a6e2d9a9da28f78,negative_anchor,0.0,0.25,0.0,4,0.0,4,0.25,0.0,0.25,0.25
prm-7ca8bf8fc95e2b20,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-7e6bdad2d7a80ef9,negative_anchor,1.0,1.0,0.25,4,1.0,4,0.75,0.0,0.0,0.0
prm-7f470224e279c9a5,negative_anchor,0.0,0.0,0.25,4,0.75,4,-0.25,0.75,-0.75,0.0
prm-836cfecb0a834014,negative_anchor,0.0,0.75,0.25,4,1.0,4,0.5,1.0,-0.25,0.75
prm-8b05d5d648e57f29,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-8dfa8dc3890bcfef,negative_anchor,0.0,0.0,0.0,4,,,0.0,,,0.0
prm-933bbb6ef939eb1f,negative_anchor,0.75,0.0,0.25,4,0.25,4,-0.25,-0.5,-0.25,-0.75
prm-94f01424485d8634,negative_anchor,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-9a884b78e7527ff9,negative_anchor,1.0,1.0,0.75,4,1.0,4,0.25,0.0,0.0,0.0
prm-9d7450aa50a1cc3f,negative_anchor,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-9db27c5e8855d8c2,negative_anchor,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-9f3753744da09c38,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-a081faca165fd59b,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-a15fb929dff59e97,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-a304fbad5368565d,negative_anchor,0.25,1.0,0.75,4,0.0,4,0.25,-0.25,1.0,0.75
prm-a8f0f0d569ae9708,negative_anchor,0.0,1.0,0.5,4,0.0,4,0.5,0.0,1.0,1.0
prm-ac1b5da6715754b0,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-afff103ac71bacae,negative_anchor,0.0,1.0,0.0,4,,,1.0,,,1.0
prm-b46df73b9c7f1dd9,negative_anchor,0.0,1.0,1.0,4,0.0,4,0.0,0.0,1.0,1.0
prm-b78ab37efb3ac6fe,negative_anchor,1.0,1.0,1.0,4,1.0,4,0.0,0.0,0.0,0.0
prm-b8457436293d4e60,negative_anchor,0.0,0.0,1.0,4,0.0,4,-1.0,0.0,0.0,0.0
prm-b93ffe4952ee0425,negative_anchor,1.0,1.0,0.0,4,1.0,4,1.0,0.0,0.0,0.0
prm-bcf33e68e625980e,negative_anchor,0.0,0.0,0.0,4,0.25,4,0.0,0.25,-0.25,0.0
prm-bf49cda9c1b58b99,negative_anchor,1.0,1.0,1.0,4,0.25,4,0.0,-0.75,0.75,0.0
prm-bf79591055298bcd,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-c95d41ec650cb773,negative_anchor,1.0,1.0,0.0,4,0.25,4,1.0,-0.75,0.75,0.0
prm-ce7da7c55243f250,negative_anchor,0.25,0.0,0.0,4,0.25,4,0.0,0.0,-0.25,-0.25
prm-d22d355799e3baaf,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-d4c3a3c1d1cb0d1f,negative_anchor,1.0,1.0,0.0,4,0.75,4,1.0,-0.25,0.25,0.0
prm-d7fbf32a29279602,negative_anchor,0.0,0.0,0.0,4,,,0.0,,,0.0
prm-dba05e0cd479b592,negative_anchor,0.0,0.5,0.0,4,0.0,4,0.5,0.0,0.5,0.5
prm-dbb76c0284dc2629,negative_anchor,0.0,0.75,0.0,4,0.75,4,0.75,0.75,0.0,0.75
prm-dd448bdba8557edf,negative_anchor,0.0,1.0,0.5,4,0.0,4,0.5,0.0,1.0,1.0
prm-decee9499f5fb0d7,negative_anchor,0.0,1.0,0.75,4,0.0,4,0.25,0.0,1.0,1.0
prm-e5218a9b5d49ef04,negative_anchor,0.0,0.75,0.75,4,0.0,4,0.0,0.0,0.75,0.75
prm-edfe3301d75e7278,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-f17b27e710e8f147,negative_anchor,0.0,0.0,0.0,4,0.0,4,0.0,0.0,0.0,0.0
prm-f1c09b6fd89155cf,negative_anchor,0.5,1.0,1.0,4,0.0,4,0.0,-0.5,1.0,0.5
