step_id,problem_id,strong_control_group,prm_rating,step_type_human_calibrated,position_bin,position_ratio,target_tokens,prefix_tokens,control_correct_count,placebo_eligible,reuse_c0_c1_runs,new_c2_placebo_runs,new_c3_paraphrase_runs
prm-02dc733a400c8a44,problem-4ad774d03e1d7ae9,negative_anchor,-1,harmful,early,0.2857,30,407,2,1,4,4,4
prm-14c85f1b92bf8cfb,problem-d617e0f458c4b1fa,negative_anchor,-1,harmful,middle,0.6000,57,460,4,1,4,4,4
prm-14d4896af9e2f42b,problem-827611782a6a81f2,negative_anchor,-1,harmful,early,0.2353,63,431,0,1,4,4,4
prm-17fa230838c04542,problem-2f7c46ab9eda1c84,negative_anchor,-1,harmful,early,0.0000,20,355,4,1,4,4,4
prm-1a376cfa6cfa9af8,problem-eed9594538d18b57,negative_anchor,-1,harmful,late,0.7500,69,584,0,1,4,4,4
prm-1c1e7874f91737bc,problem-d3823d137562e66d,negative_anchor,-1,harmful,early,0.1667,62,391,0,1,4,4,4
prm-1d89b199249c7358,problem-4f1949500aa128e9,negative_anchor,-1,harmful,late,0.8261,73,936,0,1,4,4,4
prm-1ef2f094b18fa4d5,problem-9f3b9f8d7ae2958e,negative_anchor,-1,harmful,early,0.0000,28,295,4,1,4,4,4
prm-24135c674fb88634,problem-a5b3b535a7854a82,negative_anchor,-1,harmful,middle,0.6429,36,697,0,1,4,4,4
prm-2a5b9be75f2130c8,problem-24cffc732716cb8f,negative_anchor,-1,harmful,early,0.2500,28,404,0,1,4,4,4
prm-2c6c822e00040ba8,problem-bf1b475d2d82a865,negative_anchor,-1,harmful,late,0.7000,16,765,0,1,4,4,4
prm-2cb8f0ea41668c12,problem-607ec7f40a3b19a9,negative_anchor,-1,harmful,late,0.8889,35,521,0,1,4,4,4
prm-2e89a40cec48c042,problem-d3161eafd1210d42,negative_anchor,-1,harmful,early,0.0000,16,359,0,1,4,4,4
prm-2f5e5f1e6dacb0f7,problem-ded0ffd3643d0130,negative_anchor,-1,harmful,late,0.7273,38,577,0,1,4,4,4
prm-2fbe6edf19120d31,problem-3cbf37a65f1d222a,negative_anchor,-1,harmful,late,0.6667,22,556,4,1,4,4,4
prm-310884399c5179a6,problem-de4a1c58ecef901b,negative_anchor,-1,harmful,middle,0.6000,72,393,0,1,4,4,4
prm-39445cabc3c247f3,problem-89f1d351159d3b1e,negative_anchor,-1,harmful,late,0.7600,34,1108,0,1,4,4,4
prm-3d9ad8daca3b8faa,problem-d7d47865fbb51ce6,negative_anchor,-1,harmful,late,0.9231,35,758,4,1,4,4,4
prm-3e4ac009eae25363,problem-71eae2be9ad19da7,negative_anchor,-1,harmful,late,0.7500,58,619,0,1,4,4,4
prm-3fb0a1041b0e6522,problem-d1c9cde932510127,negative_anchor,-1,harmful,early,0.0000,27,278,0,1,4,4,4
prm-4b587d923463065a,problem-5b1d584cfe23d7df,negative_anchor,-1,harmful,middle,0.5294,24,670,0,1,4,4,4
prm-52a853240fdce958,problem-0887851f3251fb23,negative_anchor,-1,harmful,late,0.8750,28,549,0,1,4,4,4
prm-52ebf116b73ecf1a,problem-5bc561169baa97f9,negative_anchor,-1,harmful,early,0.1667,27,329,0,1,4,4,4
prm-5636d3dc1eb6633f,problem-f79eb3696da414f8,negative_anchor,-1,harmful,middle,0.3333,40,369,4,1,4,4,4
prm-56f31f0da676983f,problem-45d2328486552db2,negative_anchor,-1,harmful,middle,0.3750,61,553,0,1,4,4,4
prm-579dd704ce645be9,problem-b5dc33c4111f2507,negative_anchor,-1,harmful,middle,0.5556,29,507,0,1,4,4,4
prm-57f3dc0fcc359327,problem-6bb3caecbae2a0c3,negative_anchor,-1,harmful,early,0.0455,54,354,1,1,4,4,4
prm-58392d69449f6f68,problem-a8c4001358470f25,negative_anchor,-1,harmful,middle,0.6364,41,562,0,1,4,4,4
prm-5be58b31f228d28e,problem-dedb35fff0a06a5e,negative_anchor,-1,harmful,early,0.0833,25,342,4,1,4,4,4
prm-61fb797f33ef26d1,problem-32c3cda4fa5ff5d1,negative_anchor,-1,harmful,late,0.8095,18,615,4,1,4,4,4
prm-64052b65a1c192c7,problem-50586870d07058f9,negative_anchor,-1,harmful,late,0.7778,32,873,0,1,4,4,4
prm-695b2bd8829139af,problem-f83aecab9faccb6c,negative_anchor,-1,harmful,early,0.3000,58,477,0,1,4,4,4
prm-6994d64b52995162,problem-5c91e3632a6bed3d,negative_anchor,-1,harmful,middle,0.4000,59,422,0,1,4,4,4
