group,estimand,steps,estimate_pp,ci_lower_pp,ci_upper_pp
overall,target_effect,300,11.56,6.44,16.56
overall,placebo_effect,204,3.92,-1.47,9.15
overall,pure_semantic_effect,204,8.17,2.12,14.22
first_error,target_effect,152,24.78,16.89,32.68
first_error,placebo_effect,105,7.62,0.32,15.24
first_error,pure_semantic_effect,105,19.37,10.16,28.25
locally_correct,target_effect,148,-2.03,-8.33,4.05
locally_correct,placebo_effect,99,-0.00,-7.41,7.07
locally_correct,pure_semantic_effect,99,-3.70,-11.45,4.04
subset:gsm8k,target_effect,75,22.67,11.11,35.11
subset:gsm8k,placebo_effect,42,10.32,-0.00,21.43
subset:gsm8k,pure_semantic_effect,42,17.46,0.79,34.13
subset:math,target_effect,75,11.11,-0.44,22.67
subset:math,placebo_effect,55,-0.61,-10.91,9.09
subset:math,pure_semantic_effect,55,13.94,2.42,25.45
subset:olympiadbench,target_effect,75,7.11,-2.22,16.44
subset:olympiadbench,placebo_effect,54,-1.85,-12.96,8.64
subset:olympiadbench,pure_semantic_effect,54,6.79,-3.70,17.28
subset:omnimath,target_effect,75,5.33,-2.67,13.33
subset:omnimath,placebo_effect,53,9.43,-0.63,19.50
subset:omnimath,pure_semantic_effect,53,-3.77,-13.84,6.29
