sample_key,subset,step_class,control_rate,target_rate,target_effect,danger,benefit,placebo_effect,pure_semantic_effect
gsm8k|gsm8k-41,gsm8k,first_error,0.0,1.0,1.0,0,1,0.0,1.0
gsm8k|gsm8k-293,gsm8k,first_error,1.0,1.0,0.0,0,0,,
gsm8k|gsm8k-399,gsm8k,first_error,0.0,1.0,1.0,0,1,0.0,1.0
gsm8k|gsm8k-183,gsm8k,first_error,0.6666666666666666,1.0,0.33333333333333337,0,1,-0.6666666666666666,1.0
gsm8k|gsm8k-180,gsm8k,first_error,0.0,1.0,1.0,0,1,0.0,1.0
gsm8k|gsm8k-1,gsm8k,first_error,0.0,0.0,0.0,0,0,,
gsm8k|gsm8k-73,gsm8k,first_error,0.0,1.0,1.0,0,1,0.0,1.0
gsm8k|gsm8k-49,gsm8k,first_error,0.0,1.0,1.0,0,1,0.3333333333333333,0.6666666666666667
gsm8k|gsm8k-179,gsm8k,first_error,0.0,1.0,1.0,0,1,,
gsm8k|gsm8k-167,gsm8k,first_error,0.0,0.0,0.0,0,0,0.6666666666666666,-0.6666666666666666
gsm8k|gsm8k-157,gsm8k,first_error,0.0,0.0,0.0,0,0,,
gsm8k|gsm8k-145,gsm8k,first_error,0.0,0.3333333333333333,0.3333333333333333,0,1,0.0,0.3333333333333333
gsm8k|gsm8k-60,gsm8k,first_error,1.0,0.6666666666666666,-0.33333333333333337,1,0,0.0,-0.33333333333333337
gsm8k|gsm8k-264,gsm8k,first_error,1.0,0.0,-1.0,1,0,0.0,-1.0
gsm8k|gsm8k-130,gsm8k,first_error,0.0,1.0,1.0,0,1,0.6666666666666666,0.33333333333333337
gsm8k|gsm8k-86,gsm8k,first_error,0.6666666666666666,1.0,0.33333333333333337,0,1,,
gsm8k|gsm8k-65,gsm8k,first_error,0.0,1.0,1.0,0,1,0.6666666666666666,0.33333333333333337
gsm8k|gsm8k-187,gsm8k,first_error,0.0,1.0,1.0,0,1,0.0,1.0
gsm8k|gsm8k-128,gsm8k,first_error,0.0,0.3333333333333333,0.3333333333333333,0,1,0.0,0.3333333333333333
gsm8k|gsm8k-7,gsm8k,first_error,0.0,0.0,0.0,0,0,,
gsm8k|gsm8k-197,gsm8k,first_error,0.0,1.0,1.0,0,1,,
gsm8k|gsm8k-307,gsm8k,first_error,1.0,1.0,0.0,0,0,,
gsm8k|gsm8k-160,gsm8k,first_error,0.0,1.0,1.0,0,1,,
gsm8k|gsm8k-8,gsm8k,first_error,0.0,1.0,1.0,0,1,,
gsm8k|gsm8k-29,gsm8k,first_error,0.0,1.0,1.0,0,1,0.0,1.0
gsm8k|gsm8k-194,gsm8k,first_error,0.0,0.0,0.0,0,0,0.0,0.0
gsm8k|gsm8k-34,gsm8k,first_error,0.0,1.0,1.0,0,1,1.0,0.0
gsm8k|gsm8k-6,gsm8k,first_error,1.0,1.0,0.0,0,0,,
gsm8k|gsm8k-196,gsm8k,first_error,0.0,0.0,0.0,0,0,,
gsm8k|gsm8k-36,gsm8k,first_error,0.0,1.0,1.0,0,1,1.0,0.0
gsm8k|gsm8k-74,gsm8k,first_error,1.0,1.0,0.0,0,0,0.0,0.0
gsm8k|gsm8k-18,gsm8k,first_error,1.0,1.0,0.0,0,0,,
gsm8k|gsm8k-25,gsm8k,first_error,0.0,1.0,1.0,0,1,,
gsm8k|gsm8k-72,gsm8k,first_error,0.0,0.6666666666666666,0.6666666666666666,0,1,0.0,0.6666666666666666
gsm8k|gsm8k-121,gsm8k,first_error,1.0,1.0,0.0,0,0,,
gsm8k|gsm8k-82,gsm8k,first_error,0.0,1.0,1.0,0,1,0.3333333333333333,0.6666666666666667
gsm8k|gsm8k-235,gsm8k,locally_correct,1.0,1.0,0.0,0,0,,
gsm8k|gsm8k-224,gsm8k,locally_correct,0.0,1.0,1.0,0,1,1.0,0.0
gsm8k|gsm8k-287,gsm8k,locally_correct,1.0,0.6666666666666666,-0.33333333333333337,1,0,-0.33333333333333337,0.0
gsm8k|gsm8k-308,gsm8k,locally_correct,0.0,0.0,0.0,0,0,,
gsm8k|gsm8k-304,gsm8k,locally_correct,1.0,0.0,-1.0,1,0,0.0,-1.0
gsm8k|gsm8k-370,gsm8k,locally_correct,1.0,1.0,0.0,0,0,0.0,0.0
gsm8k|gsm8k-314,gsm8k,locally_correct,1.0,1.0,0.0,0,0,0.0,0.0
gsm8k|gsm8k-223,gsm8k,locally_correct,1.0,0.0,-1.0,1,0,0.0,-1.0
gsm8k|gsm8k-371,gsm8k,locally_correct,1.0,1.0,0.0,0,0,0.0,0.0
gsm8k|gsm8k-258,gsm8k,locally_correct,0.6666666666666666,0.6666666666666666,0.0,0,0,0.33333333333333337,-0.33333333333333337
gsm8k|gsm8k-386,gsm8k,locally_correct,1.0,1.0,0.0,0,0,0.0,0.0
gsm8k|gsm8k-318,gsm8k,locally_correct,1.0,1.0,0.0,0,0,-0.33333333333333337,0.33333333333333337
gsm8k|gsm8k-396,gsm8k,locally_correct,1.0,1.0,0.0,0,0,0.0,0.0
gsm8k|gsm8k-376,gsm8k,locally_correct,1.0,1.0,0.0,0,0,0.0,0.0
gsm8k|gsm8k-275,gsm8k,locally_correct,1.0,1.0,0.0,0,0,0.0,0.0
gsm8k|gsm8k-309,gsm8k,locally_correct,1.0,1.0,0.0,0,0,,
gsm8k|gsm8k-291,gsm8k,locally_correct,1.0,1.0,0.0,0,0,0.0,0.0
gsm8k|gsm8k-203,gsm8k,locally_correct,1.0,1.0,0.0,0,0,,
gsm8k|gsm8k-301,gsm8k,locally_correct,1.0,0.6666666666666666,-0.33333333333333337,1,0,0.0,-0.33333333333333337
gsm8k|gsm8k-388,gsm8k,locally_correct,1.0,1.0,0.0,0,0,,
gsm8k|gsm8k-281,gsm8k,locally_correct,1.0,0.6666666666666666,-0.33333333333333337,1,0,,
gsm8k|gsm8k-226,gsm8k,locally_correct,1.0,1.0,0.0,0,0,,
gsm8k|gsm8k-206,gsm8k,locally_correct,1.0,1.0,0.0,0,0,,
gsm8k|gsm8k-351,gsm8k,locally_correct,1.0,1.0,0.0,0,0,,
gsm8k|gsm8k-303,gsm8k,locally_correct,1.0,1.0,0.0,0,0,0.0,0.0
gsm8k|gsm8k-345,gsm8k,locally_correct,1.0,1.0,0.0,0,0,,
gsm8k|gsm8k-272,gsm8k,locally_correct,1.0,1.0,0.0,0,0,,
gsm8k|gsm8k-395,gsm8k,locally_correct,1.0,1.0,0.0,0,0,,
gsm8k|gsm8k-335,gsm8k,locally_correct,1.0,1.0,0.0,0,0,,
gsm8k|gsm8k-350,gsm8k,locally_correct,1.0,1.0,0.0,0,0,,
gsm8k|gsm8k-247,gsm8k,locally_correct,1.0,1.0,0.0,0,0,,
gsm8k|gsm8k-261,gsm8k,locally_correct,0.6666666666666666,0.0,-0.6666666666666666,1,0,,
gsm8k|gsm8k-384,gsm8k,locally_correct,0.6666666666666666,0.6666666666666666,0.0,0,0,0.33333333333333337,-0.33333333333333337
math|math-348,math,first_error,0.0,0.3333333333333333,0.3333333333333333,0,1,0.0,0.3333333333333333
math|math-477,math,first_error,0.0,0.3333333333333333,0.3333333333333333,0,1,,
math|math-165,math,first_error,0.0,0.0,0.0,0,0,0.0,0.0
math|math-425,math,first_error,0.0,0.0,0.0,0,0,,
math|math-275,math,first_error,0.0,0.0,0.0,0,0,0.0,0.0
math|math-327,math,first_error,0.0,0.0,0.0,0,0,0.0,0.0
math|math-279,math,first_error,0.0,0.6666666666666666,0.6666666666666666,0,1,0.0,0.6666666666666666
math|math-682,math,first_error,0.0,0.3333333333333333,0.3333333333333333,0,1,0.3333333333333333,0.0
math|math-307,math,first_error,0.0,1.0,1.0,0,1,0.0,1.0
math|math-221,math,first_error,0.0,0.0,0.0,0,0,0.0,0.0
math|math-900,math,first_error,1.0,1.0,0.0,0,0,0.0,0.0
math|math-282,math,first_error,0.0,1.0,1.0,0,1,0.6666666666666666,0.33333333333333337
math|math-15,math,first_error,0.0,1.0,1.0,0,1,0.0,1.0
math|math-429,math,first_error,0.0,1.0,1.0,0,1,1.0,0.0
math|math-161,math,first_error,0.3333333333333333,1.0,0.6666666666666667,0,1,,
math|math-203,math,first_error,0.0,1.0,1.0,0,1,0.0,1.0
math|math-68,math,first_error,1.0,0.0,-1.0,1,0,-1.0,0.0
math|math-23,math,first_error,1.0,0.0,-1.0,1,0,,
math|math-276,math,first_error,0.0,0.0,0.0,0,0,0.0,0.0
math|math-74,math,first_error,0.0,1.0,1.0,0,1,,
math|math-274,math,first_error,0.0,1.0,1.0,0,1,0.0,1.0
math|math-71,math,first_error,0.0,0.6666666666666666,0.6666666666666666,0,1,0.0,0.6666666666666666
math|math-355,math,first_error,0.0,0.0,0.0,0,0,0.0,0.0
math|math-272,math,first_error,0.0,1.0,1.0,0,1,0.6666666666666666,0.33333333333333337
math|math-109,math,first_error,0.0,1.0,1.0,0,1,0.6666666666666666,0.33333333333333337
math|math-8,math,first_error,0.0,0.0,0.0,0,0,,
math|math-233,math,first_error,0.0,0.0,0.0,0,0,0.0,0.0
math|math-187,math,first_error,0.0,1.0,1.0,0,1,0.0,1.0
math|math-550,math,first_error,1.0,1.0,0.0,0,0,-0.6666666666666667,0.6666666666666667
math|math-247,math,first_error,0.0,0.0,0.0,0,0,0.0,0.0
math|math-116,math,first_error,0.0,0.0,0.0,0,0,,
math|math-62,math,first_error,0.0,0.0,0.0,0,0,,
math|math-935,math,locally_correct,1.0,1.0,0.0,0,0,,
math|math-771,math,locally_correct,1.0,1.0,0.0,0,0,,
math|math-732,math,locally_correct,0.0,0.0,0.0,0,0,0.0,0.0
math|math-866,math,locally_correct,1.0,0.6666666666666666,-0.33333333333333337,1,0,0.0,-0.33333333333333337
math|math-596,math,locally_correct,0.0,0.0,0.0,0,0,0.3333333333333333,-0.3333333333333333
math|math-773,math,locally_correct,1.0,1.0,0.0,0,0,0.0,0.0
math|math-603,math,locally_correct,0.0,0.6666666666666666,0.6666666666666666,0,1,0.3333333333333333,0.3333333333333333
math|math-822,math,locally_correct,1.0,1.0,0.0,0,0,0.0,0.0
math|math-857,math,locally_correct,0.3333333333333333,0.3333333333333333,0.0,0,0,0.0,0.0
math|math-593,math,locally_correct,1.0,1.0,0.0,0,0,,
