policy,n_steps,coverage,net_accuracy_change_pp,run_danger_rate,run_benefit_rate
prm_threshold:google_gemini_2_5_flash,20,0.0333,0.625,0.0375,0.2250
prm_threshold:google_gemini_2_5_flash,40,0.0667,0.750,0.0625,0.1750
prm_threshold:google_gemini_2_5_flash,60,0.1000,1.250,0.0542,0.1792
prm_threshold:google_gemini_2_5_flash,80,0.1333,2.167,0.0406,0.2031
prm_threshold:google_gemini_2_5_flash,100,0.1667,2.167,0.0425,0.1725
prm_threshold:google_gemini_2_5_flash,120,0.2000,2.583,0.0479,0.1771
prm_threshold:google_gemini_2_5_flash,140,0.2333,2.958,0.0625,0.1893
prm_threshold:google_gemini_2_5_flash,160,0.2667,3.542,0.0609,0.1938
prm_threshold:google_gemini_2_5_flash,180,0.3000,4.083,0.0583,0.1944
prm_threshold:google_gemini_2_5_flash,200,0.3333,4.208,0.0587,0.1850
prm_threshold:google_gemini_2_5_flash,220,0.3667,4.375,0.0659,0.1852
prm_threshold:google_gemini_2_5_flash,240,0.4000,4.625,0.0667,0.1823
prm_threshold:google_gemini_2_5_flash,260,0.4333,5.625,0.0615,0.1913
prm_threshold:google_gemini_2_5_flash,280,0.4667,5.667,0.0634,0.1848
prm_threshold:google_gemini_2_5_flash,300,0.5000,5.333,0.0725,0.1792
prm_threshold:google_gemini_2_5_flash,320,0.5333,5.000,0.0828,0.1766
prm_threshold:google_gemini_2_5_flash,340,0.5667,5.500,0.0801,0.1772
prm_threshold:google_gemini_2_5_flash,360,0.6000,5.458,0.0875,0.1785
prm_threshold:google_gemini_2_5_flash,380,0.6333,5.583,0.0842,0.1724
prm_threshold:google_gemini_2_5_flash,400,0.6667,5.875,0.0838,0.1719
prm_threshold:google_gemini_2_5_flash,420,0.7000,5.083,0.0923,0.1649
prm_threshold:google_gemini_2_5_flash,440,0.7333,5.625,0.0898,0.1665
prm_threshold:google_gemini_2_5_flash,460,0.7667,5.958,0.0870,0.1647
prm_threshold:google_gemini_2_5_flash,480,0.8000,6.167,0.0865,0.1635
prm_threshold:google_gemini_2_5_flash,500,0.8333,6.250,0.0860,0.1610
prm_threshold:google_gemini_2_5_flash,520,0.8667,6.500,0.0861,0.1611
prm_threshold:google_gemini_2_5_flash,540,0.9000,6.625,0.0861,0.1597
prm_threshold:google_gemini_2_5_flash,560,0.9333,7.000,0.0866,0.1616
prm_threshold:google_gemini_2_5_flash,580,0.9667,7.375,0.0845,0.1608
prm_threshold:microsoft_phi_4,20,0.0333,0.042,0.0625,0.0750
prm_threshold:microsoft_phi_4,40,0.0667,0.167,0.0750,0.1000
prm_threshold:microsoft_phi_4,60,0.1000,0.167,0.0917,0.1083
prm_threshold:microsoft_phi_4,80,0.1333,0.167,0.0938,0.1062
prm_threshold:microsoft_phi_4,100,0.1667,1.125,0.0775,0.1450
prm_threshold:microsoft_phi_4,120,0.2000,1.042,0.0750,0.1271
