regime,policy,budget_pp,max_steps_certified,coverage_of_traffic,net_per_deletion_pp,net_lcb_normal_pp,net_lcb_boot_pp,harmed_share_obs,harmed_share_null_floor,harmed_share_excess,harmed_share_severe,severe_null_floor,severe_excess
balanced_cohort,random,1,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,random,3,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,random,5,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,rating_first,1,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,rating_first,3,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,rating_first,5,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,harmful_first,1,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,harmful_first,3,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,harmful_first,5,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,intersection_first,1,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,intersection_first,3,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,intersection_first,5,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,prm:llama31_8b_prm_deepseek,1,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,prm:llama31_8b_prm_deepseek,3,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,prm:llama31_8b_prm_deepseek,5,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,prm:math_shepherd_mistral_7b,1,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,prm:math_shepherd_mistral_7b,3,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,prm:math_shepherd_mistral_7b,5,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,prm:qwen25_math_prm_7b,1,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,prm:qwen25_math_prm_7b,3,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,prm:qwen25_math_prm_7b,5,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,predictor_D,1,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,predictor_D,3,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,predictor_D,5,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,predictor_E,1,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,predictor_E,3,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,predictor_E,5,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,oracle,1,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,oracle,3,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
balanced_cohort,oracle,5,600,1.0000,7.21,4.35,4.27,0.140,0.125,0.015,0.095,0.042,0.053
natural_prevalence,random,1,0,0,,,,,,,,,
natural_prevalence,random,3,0,0,,,,,,,,,
natural_prevalence,random,5,600,1.0000,-0.52,-4.39,-4.46,0.170,0.111,0.059,0.116,0.035,0.081
natural_prevalence,rating_first,1,260,0.0242,9.79,1.57,2.03,0.144,0.138,0.007,0.126,0.047,0.079
natural_prevalence,rating_first,3,410,0.1224,1.44,-1.74,-1.90,0.107,0.086,0.022,0.080,0.027,0.052
natural_prevalence,rating_first,5,600,1.0000,-0.52,-4.39,-4.46,0.170,0.111,0.059,0.116,0.035,0.081
natural_prevalence,harmful_first,1,140,0.0380,17.02,1.56,1.23,0.070,0.129,0.000,0.040,0.043,0.000
natural_prevalence,harmful_first,3,140,0.0380,17.02,1.56,1.23,0.070,0.129,0.000,0.040,0.043,0.000
natural_prevalence,harmful_first,5,600,1.0000,-0.52,-4.39,-4.46,0.170,0.111,0.059,0.116,0.035,0.081
natural_prevalence,intersection_first,1,260,0.0242,9.79,1.57,2.03,0.144,0.138,0.007,0.126,0.047,0.079
natural_prevalence,intersection_first,3,410,0.1224,1.44,-1.74,-1.90,0.107,0.086,0.022,0.080,0.027,0.052
