split,regime,policy,budget_pp,cal_coverage,cal_net_lcb_pp,test_steps_deleted,test_net_per_deletion_pp,test_harmed_share_obs,test_harmed_share_null_floor,test_harmed_share_excess,test_harmed_share_severe,test_severe_null_floor,test_severe_excess
0,balanced_cohort,random,1,0.979,1.71,307,9.04,0.150,0.136,0.014,0.107,0.046,0.061
0,balanced_cohort,random,3,0.979,1.71,307,9.04,0.150,0.136,0.014,0.107,0.046,0.061
0,balanced_cohort,random,5,0.979,1.71,307,9.04,0.150,0.136,0.014,0.107,0.046,0.061
0,balanced_cohort,rating_first,1,0.979,2.19,307,8.96,0.150,0.136,0.014,0.107,0.046,0.061
0,balanced_cohort,rating_first,3,0.979,2.19,307,8.96,0.150,0.136,0.014,0.107,0.046,0.061
0,balanced_cohort,rating_first,5,0.979,2.19,307,8.96,0.150,0.136,0.014,0.107,0.046,0.061
0,balanced_cohort,harmful_first,1,0.979,2.09,307,8.96,0.150,0.136,0.014,0.107,0.046,0.061
0,balanced_cohort,harmful_first,3,0.979,2.09,307,8.96,0.150,0.136,0.014,0.107,0.046,0.061
0,balanced_cohort,harmful_first,5,0.979,2.09,307,8.96,0.150,0.136,0.014,0.107,0.046,0.061
0,balanced_cohort,intersection_first,1,0.979,2.19,307,8.96,0.150,0.136,0.014,0.107,0.046,0.061
0,balanced_cohort,intersection_first,3,0.979,2.19,307,8.96,0.150,0.136,0.014,0.107,0.046,0.061
0,balanced_cohort,intersection_first,5,0.979,2.19,307,8.96,0.150,0.136,0.014,0.107,0.046,0.061
0,balanced_cohort,prm:llama31_8b_prm_deepseek,1,0.979,1.89,307,8.79,0.153,0.137,0.016,0.111,0.047,0.064
0,balanced_cohort,prm:llama31_8b_prm_deepseek,3,0.979,1.89,307,8.79,0.153,0.137,0.016,0.111,0.047,0.064
0,balanced_cohort,prm:llama31_8b_prm_deepseek,5,0.979,1.89,307,8.79,0.153,0.137,0.016,0.111,0.047,0.064
0,balanced_cohort,prm:math_shepherd_mistral_7b,1,0.979,1.89,307,8.63,0.150,0.135,0.015,0.107,0.046,0.062
0,balanced_cohort,prm:math_shepherd_mistral_7b,3,0.979,1.89,307,8.63,0.150,0.135,0.015,0.107,0.046,0.062
0,balanced_cohort,prm:math_shepherd_mistral_7b,5,0.979,1.89,307,8.63,0.150,0.135,0.015,0.107,0.046,0.062
0,balanced_cohort,prm:qwen25_math_prm_7b,1,0.979,2.08,307,8.63,0.153,0.136,0.017,0.107,0.046,0.062
0,balanced_cohort,prm:qwen25_math_prm_7b,3,0.979,2.08,307,8.63,0.153,0.136,0.017,0.107,0.046,0.062
0,balanced_cohort,prm:qwen25_math_prm_7b,5,0.979,2.08,307,8.63,0.153,0.136,0.017,0.107,0.046,0.062
0,balanced_cohort,predictor_D,1,0.979,2.51,307,8.88,0.153,0.136,0.017,0.107,0.046,0.062
0,balanced_cohort,predictor_D,3,0.979,2.51,307,8.88,0.153,0.136,0.017,0.107,0.046,0.062
0,balanced_cohort,predictor_D,5,0.979,2.51,307,8.88,0.153,0.136,0.017,0.107,0.046,0.062
0,balanced_cohort,predictor_E,1,0.979,2.70,307,8.88,0.153,0.137,0.016,0.107,0.046,0.061
0,balanced_cohort,predictor_E,3,0.979,2.70,307,8.88,0.153,0.137,0.016,0.107,0.046,0.061
0,balanced_cohort,predictor_E,5,0.979,2.70,307,8.88,0.153,0.137,0.016,0.107,0.046,0.061
0,natural_prevalence,random,1,0.000,,0,,,,,,,
0,natural_prevalence,random,3,0.000,,0,,,,,,,
0,natural_prevalence,random,5,0.000,,0,,,,,,,
0,natural_prevalence,rating_first,1,0.699,-0.02,220,0.67,0.131,0.089,0.042,0.097,0.029,0.067
0,natural_prevalence,rating_first,3,0.699,-0.02,220,0.67,0.131,0.089,0.042,0.097,0.029,0.067
0,natural_prevalence,rating_first,5,0.699,-0.02,220,0.67,0.131,0.089,0.042,0.097,0.029,0.067
0,natural_prevalence,harmful_first,1,0.490,0.26,154,-3.89,0.211,0.123,0.088,0.178,0.040,0.138
0,natural_prevalence,harmful_first,3,0.594,-2.09,187,-3.32,0.243,0.148,0.095,0.195,0.048,0.147
0,natural_prevalence,harmful_first,5,0.594,-2.09,187,-3.32,0.243,0.148,0.095,0.195,0.048,0.147
0,natural_prevalence,intersection_first,1,0.699,-0.02,220,0.67,0.131,0.089,0.042,0.097,0.029,0.067
0,natural_prevalence,intersection_first,3,0.699,-0.02,220,0.67,0.131,0.089,0.042,0.097,0.029,0.067
0,natural_prevalence,intersection_first,5,0.699,-0.02,220,0.67,0.131,0.089,0.042,0.097,0.029,0.067
0,natural_prevalence,prm:llama31_8b_prm_deepseek,1,0.035,14.89,11,-6.04,0.064,0.025,0.039,0.064,0.010,0.054
0,natural_prevalence,prm:llama31_8b_prm_deepseek,3,0.245,-1.78,77,4.33,0.190,0.155,0.036,0.109,0.050,0.059
0,natural_prevalence,prm:llama31_8b_prm_deepseek,5,0.245,-1.78,77,4.33,0.190,0.155,0.036,0.109,0.050,0.059
0,natural_prevalence,prm:math_shepherd_mistral_7b,1,0.350,1.60,110,4.57,0.135,0.119,0.016,0.096,0.040,0.056
