regime,policy,budget_pp,splits_with_nonzero_coverage,median_cal_coverage,min_cal_coverage,max_cal_coverage,median_test_net_per_deletion_pp,median_test_harmed_excess
balanced_cohort,harmful_first,1,20,0.992,0.969,1.000,6.26,0.017
balanced_cohort,harmful_first,3,20,0.992,0.969,1.000,6.26,0.017
balanced_cohort,harmful_first,5,20,0.992,0.969,1.000,6.26,0.017
balanced_cohort,intersection_first,1,20,0.992,0.969,1.000,6.34,0.016
balanced_cohort,intersection_first,3,20,0.992,0.969,1.000,6.34,0.016
balanced_cohort,intersection_first,5,20,0.992,0.969,1.000,6.34,0.016
balanced_cohort,predictor_D,1,20,0.992,0.969,1.000,6.12,0.018
balanced_cohort,predictor_D,3,20,0.992,0.969,1.000,6.12,0.018
balanced_cohort,predictor_D,5,20,0.992,0.969,1.000,6.12,0.018
balanced_cohort,predictor_E,1,20,0.992,0.969,1.000,6.53,0.017
balanced_cohort,predictor_E,3,20,0.992,0.969,1.000,6.53,0.017
balanced_cohort,predictor_E,5,20,0.992,0.969,1.000,6.53,0.017
balanced_cohort,prm:llama31_8b_prm_deepseek,1,20,0.992,0.969,1.000,6.16,0.019
balanced_cohort,prm:llama31_8b_prm_deepseek,3,20,0.992,0.969,1.000,6.16,0.019
balanced_cohort,prm:llama31_8b_prm_deepseek,5,20,0.992,0.969,1.000,6.16,0.019
balanced_cohort,prm:math_shepherd_mistral_7b,1,20,0.992,0.969,1.000,6.30,0.017
balanced_cohort,prm:math_shepherd_mistral_7b,3,20,0.992,0.969,1.000,6.30,0.017
balanced_cohort,prm:math_shepherd_mistral_7b,5,20,0.992,0.969,1.000,6.30,0.017
balanced_cohort,prm:qwen25_math_prm_7b,1,20,0.992,0.969,1.000,6.21,0.020
balanced_cohort,prm:qwen25_math_prm_7b,3,20,0.992,0.969,1.000,6.21,0.020
balanced_cohort,prm:qwen25_math_prm_7b,5,20,0.992,0.969,1.000,6.21,0.020
balanced_cohort,random,1,20,0.992,0.969,1.000,6.29,0.017
balanced_cohort,random,3,20,0.992,0.969,1.000,6.29,0.017
balanced_cohort,random,5,20,0.992,0.969,1.000,6.29,0.017
balanced_cohort,rating_first,1,20,0.992,0.969,1.000,6.34,0.016
balanced_cohort,rating_first,3,20,0.992,0.969,1.000,6.34,0.016
balanced_cohort,rating_first,5,20,0.992,0.969,1.000,6.34,0.016
natural_prevalence,harmful_first,1,12,0.195,0.000,0.837,-1.79,0.064
natural_prevalence,harmful_first,3,17,0.225,0.000,0.989,7.35,0.014
natural_prevalence,harmful_first,5,19,0.525,0.000,1.000,-0.43,0.045
natural_prevalence,intersection_first,1,20,0.487,0.286,0.875,0.89,0.044
natural_prevalence,intersection_first,3,20,0.677,0.445,0.989,-0.21,0.060
natural_prevalence,intersection_first,5,20,0.779,0.608,1.000,-0.38,0.060
natural_prevalence,predictor_D,1,15,0.131,0.000,0.806,20.83,0.000
natural_prevalence,predictor_D,3,16,0.153,0.000,0.989,17.05,0.000
natural_prevalence,predictor_D,5,18,0.304,0.000,1.000,5.42,0.021
natural_prevalence,predictor_E,1,20,0.583,0.417,0.951,8.75,0.010
natural_prevalence,predictor_E,3,20,0.817,0.449,0.989,4.50,0.029
natural_prevalence,predictor_E,5,20,0.883,0.513,1.000,2.43,0.037
natural_prevalence,prm:llama31_8b_prm_deepseek,1,14,0.051,0.000,0.705,3.31,0.038
natural_prevalence,prm:llama31_8b_prm_deepseek,3,17,0.068,0.000,0.989,4.33,0.036
natural_prevalence,prm:llama31_8b_prm_deepseek,5,20,0.663,0.033,1.000,2.52,0.040
natural_prevalence,prm:math_shepherd_mistral_7b,1,19,0.331,0.000,0.798,6.41,0.000
natural_prevalence,prm:math_shepherd_mistral_7b,3,20,0.352,0.286,0.989,4.88,0.011
natural_prevalence,prm:math_shepherd_mistral_7b,5,20,0.468,0.286,1.000,0.04,0.055
natural_prevalence,prm:qwen25_math_prm_7b,1,20,0.175,0.032,0.837,-6.34,0.089
natural_prevalence,prm:qwen25_math_prm_7b,3,20,0.188,0.032,0.989,-1.08,0.078
natural_prevalence,prm:qwen25_math_prm_7b,5,20,0.317,0.032,1.000,-1.83,0.070
natural_prevalence,random,1,9,0.000,0.000,0.913,-3.66,0.043
natural_prevalence,random,3,10,0.032,0.000,0.989,-4.00,0.046
natural_prevalence,random,5,12,0.080,0.000,1.000,-2.51,0.070
natural_prevalence,rating_first,1,20,0.487,0.286,0.875,0.89,0.044
natural_prevalence,rating_first,3,20,0.677,0.445,0.989,-0.21,0.060
natural_prevalence,rating_first,5,20,0.779,0.608,1.000,-0.38,0.060
