policy,harm_budget,max_steps_deletable,coverage,net_accuracy_change_pp,run_danger_rate,run_benefit_rate
random,0.01,0,0,,,
random,0.03,0,0,,,
random,0.05,0,0,,,
rating_neg1,0.01,0,0,,,
rating_neg1,0.03,50,0.0833,2.083,0.0250,0.2750
rating_neg1,0.05,210,0.3500,7.583,0.0464,0.2631
harmful_only,0.01,0,0,,,
harmful_only,0.03,10,0.0167,0.292,0.0250,0.2000
harmful_only,0.05,180,0.3000,5.292,0.0458,0.2222
neg1_x_harmful,0.01,0,0,,,
neg1_x_harmful,0.03,10,0.0167,0.375,0.0250,0.2500
neg1_x_harmful,0.05,240,0.4000,8.000,0.0500,0.2500
predictor_static,0.01,200,0.3333,11.125,0.0100,0.3438
predictor_static,0.03,240,0.4000,12.000,0.0229,0.3229
predictor_static,0.05,380,0.6333,11.125,0.0474,0.2230
predictor_state,0.01,210,0.3500,11.500,0.0083,0.3369
predictor_state,0.03,250,0.4167,12.000,0.0280,0.3160
predictor_state,0.05,280,0.4667,12.250,0.0437,0.3063
oracle,0.01,530,0.8833,14.750,0.0099,0.1769
oracle,0.03,550,0.9167,13.625,0.0227,0.1714
oracle,0.05,570,0.9500,11.792,0.0412,0.1654
