policy,policy_label,operating_point,n_steps,coverage,net_accuracy_change_pp,avg_selected_effect_pp,run_danger_rate,danger_rate_among_correct,run_benefit_rate,step_danger_rate
random,Random deletion,coverage_0.05,30,0.0500,0.3604,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,coverage_0.10,60,0.1000,0.7208,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,coverage_0.33,200,0.3333,2.4028,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,coverage_0.50,300,0.5000,3.6042,7.2083,0.0850,0.1508,0.1571,0.1517
rating_neg1,Rating = -1 threshold,natural_set,200,0.3333,7.3333,22.0000,0.0462,0.1486,0.2662,0.1000
rating_neg1,Rating = -1 threshold,coverage_0.05,30,0.0500,1.3750,27.5000,0.0417,0.1351,0.3167,0.0667
rating_neg1,Rating = -1 threshold,coverage_0.10,60,0.1000,2.1250,21.2500,0.0375,0.0918,0.2500,0.0667
rating_neg1,Rating = -1 threshold,coverage_0.33,200,0.3333,7.3333,22.0000,0.0462,0.1486,0.2662,0.1000
rating_neg1,Rating = -1 threshold,coverage_0.50,300,0.5000,7.7500,15.5000,0.0692,0.1680,0.2242,0.1267
harmful_only,Harmful-only (human-calibrated),natural_set,203,0.3383,6.0833,17.9803,0.0579,0.1722,0.2377,0.1084
harmful_only,Harmful-only (human-calibrated),coverage_0.05,30,0.0500,0.7917,15.8333,0.0583,0.1429,0.2167,0.1000
harmful_only,Harmful-only (human-calibrated),coverage_0.10,60,0.1000,1.3333,13.3333,0.0500,0.1224,0.1833,0.1000
harmful_only,Harmful-only (human-calibrated),coverage_0.33,200,0.3333,6.2500,18.7500,0.0537,0.1623,0.2412,0.1050
harmful_only,Harmful-only (human-calibrated),coverage_0.50,300,0.5000,7.8333,15.6667,0.0617,0.1383,0.2183,0.1133
neg1_x_harmful,Rating = -1 x Harmful,natural_set,160,0.2667,5.5833,20.9375,0.0500,0.1739,0.2594,0.1000
neg1_x_harmful,Rating = -1 x Harmful,coverage_0.05,30,0.0500,0.7917,15.8333,0.0417,0.0980,0.2000,0.0667
neg1_x_harmful,Rating = -1 x Harmful,coverage_0.10,60,0.1000,1.1667,11.6667,0.0625,0.1546,0.1792,0.1167
neg1_x_harmful,Rating = -1 x Harmful,coverage_0.33,200,0.3333,7.2917,21.8750,0.0450,0.1481,0.2637,0.0950
neg1_x_harmful,Rating = -1 x Harmful,coverage_0.50,300,0.5000,7.7083,15.4167,0.0617,0.1434,0.2158,0.1167
predictor_static,Static predictor (model D),coverage_0.05,30,0.0500,1.4167,28.3333,0.0000,0.0000,0.2833,0.0000
predictor_static,Static predictor (model D),coverage_0.10,60,0.1000,4.2083,42.0833,0.0042,0.1429,0.4250,0.0167
predictor_static,Static predictor (model D),coverage_0.33,200,0.3333,11.1250,33.3750,0.0100,0.2286,0.3438,0.0250
predictor_static,Static predictor (model D),coverage_0.50,300,0.5000,11.6250,23.2500,0.0408,0.1877,0.2733,0.0700
predictor_state,Trajectory-state predictor (model E),coverage_0.05,30,0.0500,1.9583,39.1667,0.0000,0.0000,0.3917,0.0000
predictor_state,Trajectory-state predictor (model E),coverage_0.10,60,0.1000,4.5417,45.4167,0.0000,0.0000,0.4542,0.0000
predictor_state,Trajectory-state predictor (model E),coverage_0.33,200,0.3333,10.6250,31.8750,0.0088,0.2593,0.3275,0.0150
predictor_state,Trajectory-state predictor (model E),coverage_0.50,300,0.5000,11.5833,23.1667,0.0575,0.3136,0.2892,0.1000
oracle,Oracle upper bound (observed effect),coverage_0.05,30,0.0500,5.0000,100.0000,0.0000,0.0000,1.0000,0.0000
oracle,Oracle upper bound (observed effect),coverage_0.10,60,0.1000,9.8333,98.3333,0.0000,0.0000,0.9833,0.0000
oracle,Oracle upper bound (observed effect),coverage_0.33,200,0.3333,15.3333,46.0000,0.0037,0.0106,0.4637,0.0150
oracle,Oracle upper bound (observed effect),coverage_0.50,300,0.5000,15.3333,30.6667,0.0033,0.0078,0.3100,0.0133
