policy,policy_label,n_steps,coverage,net_accuracy_change_pp,avg_selected_effect_pp,run_danger_rate,danger_rate_among_correct,run_benefit_rate,step_danger_rate
random,Random deletion,10,0.0167,0.1201,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,20,0.0333,0.2403,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,30,0.0500,0.3604,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,40,0.0667,0.4806,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,50,0.0833,0.6007,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,60,0.1000,0.7208,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,70,0.1167,0.8410,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,80,0.1333,0.9611,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,90,0.1500,1.0813,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,100,0.1667,1.2014,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,110,0.1833,1.3215,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,120,0.2000,1.4417,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,130,0.2167,1.5618,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,140,0.2333,1.6819,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,150,0.2500,1.8021,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,160,0.2667,1.9222,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,170,0.2833,2.0424,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,180,0.3000,2.1625,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,190,0.3167,2.2826,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,200,0.3333,2.4028,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,210,0.3500,2.5229,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,220,0.3667,2.6431,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,230,0.3833,2.7632,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,240,0.4000,2.8833,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,250,0.4167,3.0035,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,260,0.4333,3.1236,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,270,0.4500,3.2437,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,280,0.4667,3.3639,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,290,0.4833,3.4840,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,300,0.5000,3.6042,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,310,0.5167,3.7243,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,320,0.5333,3.8444,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,330,0.5500,3.9646,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,340,0.5667,4.0847,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,350,0.5833,4.2049,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,360,0.6000,4.3250,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,370,0.6167,4.4451,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,380,0.6333,4.5653,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,390,0.6500,4.6854,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,400,0.6667,4.8056,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,410,0.6833,4.9257,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,420,0.7000,5.0458,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,430,0.7167,5.1660,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,440,0.7333,5.2861,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,450,0.7500,5.4062,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,460,0.7667,5.5264,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,470,0.7833,5.6465,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,480,0.8000,5.7667,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,490,0.8167,5.8868,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,500,0.8333,6.0069,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,510,0.8500,6.1271,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,520,0.8667,6.2472,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,530,0.8833,6.3674,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,540,0.9000,6.4875,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,550,0.9167,6.6076,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,560,0.9333,6.7278,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,570,0.9500,6.8479,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,580,0.9667,6.9681,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,590,0.9833,7.0882,7.2083,0.0850,0.1508,0.1571,0.1517
random,Random deletion,600,1.0000,7.2083,7.2083,0.0850,0.1508,0.1571,0.1517
